PaperTitle,Year,Author,Citation,Publication,URL
Construction of Multimodal Chinese Tourism Knowledge Graph,2021,J Xie,,Springer,https://link.springer.com/chapter/10.1007/978-981-16-5943-0_2
A tutorial and survey on fault knowledge graph,2019,XQ Wang,,Springer,https://link.springer.com/chapter/10.1007/978-981-15-1925-3_19
基于知识图谱的智能投资决策 (Intelligent Investment Decision Based on Knowledge Graph),2019,S Wang,,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3449419
"A survey based on knowledge graph in fault diagnosis, analysis and prediction: key technologies and challenges",2020,L Su,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9361060/
[CITATION][C] Populating the FLE Financial Knowledge Graph.,2018,MP Muñoz,,2018,xx
Research on Entity Recognition and Alignment Methods in Knowledge Graph Construction of Multi-source Tourism Data,2021,M Wu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9482325/
A review of natural language processing for financial technology,2021,R Gao,,spiedigitallibrary.org,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11884/118840U/A-review-of-natural-language-processing-for-financial-technology/10.1117/12.2604371.short
Construction research and application of poverty alleviation knowledge graph,2019,H Yun,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-30952-7_42
Variable incremental adaptive learning model based on knowledge graph and its application in online learning system,2021,Z Bai,,Francis,https://www.tandfonline.com/doi/abs/10.1080/1206212X.2021.1878419
Fintech: AI powers financial services to improve people's lives,2018,Y Qi,,dl.acm.org,https://dl.acm.org/doi/pdf/10.1145/3239550
Distributed Storage and Query for Domain Knowledge Graphs,2020,X Shan,,Springer,https://link.springer.com/chapter/10.1007/978-981-16-0479-9_10
Building Knowledge Graph using Pre-trained Language Model for Learning Entity-aware Relationships,2020,A Kumar,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9231227/
Vadalog: recent advances and applications,2019,G Gottlob,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-19570-0_2
Financial news recommendation based on graph embeddings,2019,J Ren,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167923619301447
[PDF][PDF] “Trustworthy and Explainable AI” Achieved Through Knowledge Graphs and Social Implementation,2020,M Fuji,,fujitsu.com,https://www.fujitsu.com/global/documents/about/resources/publications/fstj/archives/vol56-1/paper07.pdf
Knowledge Graph Completion Based on Graph Representation and Probability Model,2021,L Liu,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1757/1/012029/meta
[PDF][PDF] Knowledge graph embedding via the properties of mapping and dynamic matrix,2021,A Sangeetha,,…,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2021/Issue-11/IJST-2020-2172.pdf
How the anti-trustRank algorithm can help to protect the reputation of financial institutions,2020,I Astrova,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-50316-1_30
金融股权知识图谱构建与应用*,2020,吕华揆， 洪亮，,,manu44.magtech.com.cn,http://manu44.magtech.com.cn/Jwk_infotech_wk3/CN/10.11925/infotech.2096-3467.2019.0929
A Knowledge Graph Based Approach to Social Science Surveys,2021,JZ Pan,,direct.mit.edu,https://direct.mit.edu/dint/article-abstract/3/4/477/106756
Risk perception and intelligent decision in complex social information network,2020,D Wu,,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/IMDS-10-2020-0566/full/html
Knowledge Graphs Representation for Event-Related E-News Articles,2021,M Lakshika,,mdpi.com,https://www.mdpi.com/2504-4990/3/4/40
[CITATION][C] ICBK 2018,xx,G Li,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8588763/
[PDF][PDF] MEL: Metadata Extractor & Loader,2021,SJR Méndez,,ceur-ws.org,http://ceur-ws.org/Vol-2980/paper399.pdf
Visual analysis of China's intelligent finance-Based on CiteSpace,2021,L Zhang,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3473714.3473800
[CITATION][C] Data Paper,xx,Z Feng,,direct.mit.edu,https://direct.mit.edu/dint/article-abstract/3/4/i/107803
Explainable text-driven neural network for stock prediction,2018,L Yang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8691233/
Combining embedding-based and symbol-based methods for entity alignment,2021,T Jiang,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0031320321006099
An Ontology-Aware Unified Storage Scheme for Knowledge Graphs,2020,S Li,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-60259-8_17
Effectiveness of Financial Literacy Program at Schools. The Case Study of Schoolbank in Georgia,1,I Barbakadze,,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3206094
[HTML][HTML] Customized Graph Embedding: Tailoring the Embedding Vector to a Specific Application.,2019,B Hou,,deepai.org,https://deepai.org/publication/customized-graph-embedding-tailoring-the-embedding-vector-to-a-specific-application
Domain-specific knowledge graphs: A survey,2021,B Abu-Salih,,Elsevier,https://www.sciencedirect.com/science/article/pii/S1084804521000990
[CITATION][C] 2021 IEEE International Conference on Software Engineering and Artificial Intelligence (SEAI 2021),xx,Q Lei,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9477521/
[HTML][HTML] 基于金融知识图谱的会计欺诈风险识别方法,xx,陈强， 代仕娅,,infocomm-journal.com,http://www.infocomm-journal.com/bdr/article/2021/2096-0271/2096-0271-7-3-00116.shtml
FinIR 2020: The First Workshop on Information Retrieval in Finance,43,F Feng,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3397271.3401462
[HTML][HTML] A General Method for Transferring Explicit Knowledge into Language Model Pretraining,2021,R Yan,,hindawi.com,https://www.hindawi.com/journals/scn/2021/7115167/
A Review of Recent Trends and Industry Prospects for Artificial Intelligence Technologies,2021,G Li,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9635368/
Intelligent Finance Wealth Management in China,2021,D Zhao,,Springer,https://link.springer.com/chapter/10.1007/978-981-16-5592-0_7
[PDF][PDF] Research on the Application of Machine Learning in Quantitative Investment,xx,H Jiawen,,clausiuspress.com,http://clausiuspress.com/conferences/LNEMSS/EDMS%202020/G8092.pdf
"[BOOK][B] Big Scientific Data Management: First International Conference, BigSDM 2018, Beijing, China, November 30–December 1, 2018, Revised Selected Papers",2019,J Li,,books.google.com,https://books.google.com/books?hl=en&lr=&id=ocanDwAAQBAJ&oi=fnd&pg=PR5&dq=%22financial+knowledge+graph%22+&ots=A0FHm4BFd9&sig=b_ev2q9FCP-u3_DQW-8K6df-P7g
Big Scientific Data Management,xx,J Li,,Springer,https://link.springer.com/content/pdf/10.1007/978-3-030-28061-1.pdf
XPM: An Explainable Deep Reinforcement Learning Framework for Portfolio Management,30,S Shi,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3459637.3482494
An Approach of Safe Stock Prediction Using Genetic Algorithm,2021,N Adhikari,,Springer,https://link.springer.com/chapter/10.1007/978-981-16-4301-9_10
[PDF][PDF] Subgraph Matching over Graph Federation,xx,Y Yuan,,zhenyu.info,http://www.zhenyu.info/papers/p470-yuan.pdf
[PDF][PDF] Deep Neural Approach for Financial Analysis,2021,L Yang,,linyi-yang.me,https://www.linyi-yang.me/files/thesis_crc_linyi_yang.pdf
面向领域知识图谱的实体关系联合抽取,2021,付瑞， 李剑宇，,,xblk.ecnu.edu.cn,https://xblk.ecnu.edu.cn/CN/abstract/abstract25925.shtml
"[BOOK][B] Data Science: 7th International Conference of Pioneering Computer Scientists, Engineers and Educators, ICPCSEE 2021, Taiyuan, China, September 17-20 …",2021,J Zeng,,books.google.com,https://books.google.com/books?hl=en&lr=&id=PmNCEAAAQBAJ&oi=fnd&pg=PR6&dq=%22financial+knowledge+graph%22+&ots=mC1eYdHw3G&sig=XPwh69qxxrQJoyTbZ_Q7hJPZcow
"Graphs, geometry, and representations for language models and networks of entities",2020,S Khalife,,tel.archives-ouvertes.fr,https://tel.archives-ouvertes.fr/tel-03052500/
TensorGP-Genetic Programming Engine in TensorFlow.,2021,F Baeta,,Springer,https://link.springer.com/content/pdf/10.1007/978-3-030-72699-7_48.pdf
[PDF][PDF] Proceedings of the 28th International Conference on Computational Linguistics,28,D Scott,,aclweb.org,https://www.aclweb.org/anthology/2020.coling-main.0.pdf
Finding the K Shortest Loopless Paths in a Network,1971,JY Yen,,pubsonline.informs.org,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.17.11.712
A review of graph neural networks and their applications in power systems,2021,W Liao,,arxiv.org,https://arxiv.org/abs/2101.10025
KOMBINASI ANALISIS FUNDAMENTAL DENGAN ANALISIS TEKNIKAL DALAM MENGHASILKAN RETURN SAHAM,xx,DJ Sulistio,,journal.ugm.ac.id,https://journal.ugm.ac.id/abis/article/view/58893
频谱知识图谱: 面向未来频谱管理的智能引擎,2021,孙佳琛， 王金龙，,,infocomm-journal.com,http://www.infocomm-journal.com/txxb/EN/abstract/abstract171360.shtml
"Graphes, géométrie et représentations pour le langage et les réseaux d'entités",2020,S Khalife,,theses.fr,https://www.theses.fr/2020IPPAX055
