Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	FullTextURL	RelatedURL	Decision	Reason
18	I Nishanbaev, E Champion, DA McMeekin	A survey of geospatial semantic web for cultural heritage	2019	Heritage	mdpi.com	https://www.mdpi.com/465572	https://scholar.google.com/scholar?cites=3765824579192900604&as_sdt=2005&sciodt=2007&hl=en	113	09/02/2022 10:40									18	6.00	6	3	3	The amount of digital cultural heritage data produced by cultural heritage institutions is growing rapidly. Digital cultural heritage repositories have therefore become an efficient and effective way to disseminate and exploit digital cultural heritage data. However, many digital …	https://www.mdpi.com/2571-9408/2/2/93/pdf	https://scholar.google.com/scholar?q=related:_Es6qYDlQjQJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
5	J Wang, X Wang, C Ma, L Kou	A survey on the development status and application prospects of knowledge graph in smart grids	2021	IET Generation, Transmission & …	researchgate.net	https://www.researchgate.net/profile/Jian-Wang-213/publication/346615004_A_survey_on_the_development_status_and_application_prospects_of_knowledge_graph_in_smart_grids/links/5fc9aa52a6fdcc697bdb855b/A-survey-on-the-development-status-and-application-prospects-of-knowledge-graph-in-smart-grids.pdf	https://scholar.google.com/scholar?cites=2061886136532425120&as_sdt=2005&sciodt=2007&hl=en	10	09/02/2022 10:40	PDF								5	5.00	1	4	1	… Moreover, the architecture of the big knowledge graph platform for smart grids and critical technologies are described. Furthermore, this paper comprehensively elaborates on the application prospects leveraged by knowledge graph oriented to smart grids, power consumer …	https://www.researchgate.net/profile/Jian-Wang-213/publication/346615004_A_survey_on_the_development_status_and_application_prospects_of_knowledge_graph_in_smart_grids/links/5fc9aa52a6fdcc697bdb855b/A-survey-on-the-development-status-and-application-prospects-of-knowledge-graph-in-smart-grids.pdf	https://scholar.google.com/scholar?q=related:oFlRT4RKnRwJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It is a survey paper
0	MJ de Almeida¹, L Runa¹	ARCHIVES USING CIDOC-CRM		cidoc.mini.icom.museum		https://cidoc.mini.icom.museum/wp-content/uploads/sites/6/2020/02/CIDOC2018_paper_36.pdf		127	09/02/2022 10:40	PDF								0	0.00	0	2		… amongst other goals, to develop a prototype for an open-source knowledge graph platform adopting our data model for archival description. Due to the complexity of the paradigm shift from representing archival information on a linked data model, this project is also devoted to …	https://cidoc.mini.icom.museum/wp-content/uploads/sites/6/2020/02/CIDOC2018_paper_36.pdf	https://scholar.google.com/scholar?q=related:aiGJe14l3gsJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
0	TAM Abdunabi	Academic search and analytics system and method therefor	2021	US Patent App. 17/142,996	Google Patents	https://patents.google.com/patent/US20210209177A1/en		125	09/02/2022 10:40									0	0.00	0	1	1	An apparatus and method for academic search and analytics insights have been provided. The apparatus includes an ingestion component, obtaining data from external heterogeneous sources, to produce ingested data			Unselected	It does not talk about the KG management platform. 
9	M Manica, C Auer, V Weber, F Zipoli, M Dolfi…	An information extraction and knowledge graph platform for accelerating biochemical discoveries	2019	arXiv preprint arXiv …	arxiv.org	https://arxiv.org/abs/1907.08400	https://scholar.google.com/scholar?cites=4442163568769832244&as_sdt=2005&sciodt=2007&hl=en	3	09/02/2022 10:40									9	3.00	2	6	3	Information extraction and data mining in biochemical literature is a daunting task that demands resource-intensive computation and appropriate means to scale knowledge ingestion. Being able to leverage this immense source of technical information helps to drastically …	https://arxiv.org/pdf/1907.08400	https://scholar.google.com/scholar?q=related:NBW17jq8pT0J:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It is a domain-specific KG, built one time. We did not consider such a case, as it is not about KG management platform.
5	JF Tchouanguem Djuedja, FH Abanda…	An integrated Linked Building Data system	2021	Advances in …	research.tue.nl	https://research.tue.nl/files/182722605/1_s2.0_S0965997820309765_main.pdf	https://scholar.google.com/scholar?cites=9761584524014366120&as_sdt=2005&sciodt=2007&hl=en	104	09/02/2022 10:40	PDF								5	5.00	2	3	1	… Developed in Java, Stardog is a knowledge graph platform that enables the storage of multiple triples with its Stardog server [42]. Using SPARQL, stored data can be queried and updated through desktop, web or command line user interface, as depicted in Fig. 12. …	https://research.tue.nl/files/182722605/1_s2.0_S0965997820309765_main.pdf	https://scholar.google.com/scholar?q=related:qK3TzmcdeIcJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
2	JFT Djuedja, FH Abanda, B Kamsu-Foguem…	An integrated Linked Building Data system: AEC industry case	2021	… in Engineering Software	Elsevier	https://www.sciencedirect.com/science/article/pii/S0965997820309765?casa_token=jfriN0FML5cAAAAA:lnJf9ChR0THpaV4sg6YV0Wj5I_AtphrkJnd_oFoQemzv2dKOGZxxR87EKQEwwK-erfFF9z0i	https://scholar.google.com/scholar?cites=5363302615939668898&as_sdt=2005&sciodt=2007&hl=en	110	09/02/2022 10:40	HTML								2	2.00	1	4	1	… Developed in Java, Stardog is a knowledge graph platform that enables the storage of multiple triples with its Stardog server [42]. Using SPARQL, stored data can be queried and updated through desktop, web or command line user interface, as depicted in Fig. 12. …	https://www.sciencedirect.com/science/article/pii/S0965997820309765?casa_token=jfriN0FML5cAAAAA:lnJf9ChR0THpaV4sg6YV0Wj5I_AtphrkJnd_oFoQemzv2dKOGZxxR87EKQEwwK-erfFF9z0i	https://scholar.google.com/scholar?q=related:otsBLlBHbkoJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
8	H Long, Y Zhu, L Jia, B Gao, J Liu, L Liu…	An ontological framework for the formalization, organization and usage of TCM-Knowledge	2019	BMC Medical Informatics …	Springer	https://link.springer.com/article/10.1186/s12911-019-0760-9	https://scholar.google.com/scholar?cites=12965465925113095306&as_sdt=2005&sciodt=2007&hl=en	46	09/02/2022 10:40	HTML	10.1186/s12911-019-0760-9							8	2.67	1	7	3	… It also provides a foundation and methodology for building a large-scale, unified semantic and extensible knowledge graph platform. … It also provides a foundation and methodology for building a large-scale, unified semantic and extensible knowledge graph platform. In the future…	https://link.springer.com/article/10.1186/s12911-019-0760-9	https://scholar.google.com/scholar?q=related:iiTMnZCW7rMJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
7	S Schröder, M Riebisch	An ontology-based approach for documenting and validating architecture rules	2018	Proceedings of the 12th European Conference …	dl.acm.org	https://dl.acm.org/doi/abs/10.1145/3241403.3241457?casa_token=_V9Qpjo3HDcAAAAA:sbuogbZDoDGviaDyRo-g3cQTEZGDAo9NUqyH9AMfurg7qidbaAuAJ-oMpVsEaiXtmyqqq6UmwMg	https://scholar.google.com/scholar?cites=3202934128087836428&as_sdt=2005&sciodt=2007&hl=en	132	09/02/2022 10:40		10.1145/3241403.3241457							7	1.75	4	2	4	… The implemented architecture is imported to the knowledge base (Stardog Knowledge Graph Platform) together with the architecture rules (represented as OWL integrity constraints). The tool prototype produces architecture violation reports that are again documented in …	https://dl.acm.org/doi/pdf/10.1145/3241403.3241457?casa_token=0jPSzKwLf2AAAAAA:y-qzQk0o44dOwJzks2Msza6kXyfy5KW91fL_jPFVdHVygAcnHfRkN7t4bPXBdlATzn4JuYDlnFc	https://scholar.google.com/scholar?q=related:DKemn54bcywJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
1	D Spoladore, V Colombo, S Arlati, A Mahroo…	An ontology-based framework for a telehealthcare system to foster healthy nutrition and active lifestyle in older adults	2021	Electronics	mdpi.com	https://www.mdpi.com/1254748	https://scholar.google.com/scholar?cites=11485878633543294164&as_sdt=2005&sciodt=2007&hl=en	112	09/02/2022 10:40									1	1.00	0	5	1	In recent years, telehealthcare systems (TSs) have become more and more widespread, as they can contribute to promoting the continuity of care and managing chronic conditions efficiently. Most TSs and nutrition recommendation systems require much information to return …	https://www.mdpi.com/2079-9292/10/17/2129/pdf	https://scholar.google.com/scholar?q=related:1NyYLcMJZp8J:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
4	E Cherny, P Haase, D Mouromtsev, A Andreev…	Application of CIDOC-CRM for the Russian heritage cloud platform	2015	… on Advances in …	Springer	https://link.springer.com/chapter/10.1007/978-3-319-23201-0_45	https://scholar.google.com/scholar?cites=16739916540710514495&as_sdt=2005&sciodt=2007&hl=en	49	09/02/2022 10:40		10.1007/978-3-319-23201-0_45							4	0.57	1	5	7	… Knowledge Graph Platform8 backed by Systap’s Blazegraph9 triple store. We have chosen this Platform as some members of our team are involved in its development, which makes it natural choice for our long-term project. The metaphacts Knowledge Graph Platform allows to …	https://www.researchgate.net/profile/Dmitry-Pavlov-4/publication/300544103_Application_of_CIDOC-CRM_for_the_Russian_Heritage_Cloud_Platform/links/577cdf4f08aece6c20fe2e30/Application-of-CIDOC-CRM-for-the-Russian-Heritage-Cloud-Platform.pdf	https://scholar.google.com/scholar?q=related:P2-84mYhUOgJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
0	R Kamath	Applying BiLSTM and CNN to assist actionable ontology building from FMEA documents	2019		pure.tue.nl	https://pure.tue.nl/ws/portalfiles/portal/142686409/sci_2019_Kamath_Rashmi.pdf		86	09/02/2022 10:40	PDF								0	0.00	0	1	3	Date: September 20, 2019 Pages: 55 Major: Data Science Code: SCI3095 Supervisor: Professor Aristidis gionis Advisor: Carl Neale Heterogeneous data sources can lead to high efforts for data integration, data access and data analytics. A possible solution to this problem can …	https://pure.tue.nl/ws/portalfiles/portal/142686409/sci_2019_Kamath_Rashmi.pdf	https://scholar.google.com/scholar?q=related:hkMPC6VNzogJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
6	A Filippov, V Moshkin, A Namestnikov…	Approach to translation of RDF/OWL-ontology to the graphic knowledge base of intelligent systems	2018	Proceedings of the II …	ceur-ws.org	http://ceur-ws.org/Vol-2258/paper6.pdf	https://scholar.google.com/scholar?cites=3594991809043632210&as_sdt=2005&sciodt=2007&hl=en	71	09/02/2022 10:40	PDF								6	1.50	2	4	4	The paper presents the graph knowledge base of the ontology repository. The original algorithm for translating the RDF/OWL-ontology into a graph knowledge base is proposed. In addition, the article presents an approach to the inference on the ontology repository. The …	http://ceur-ws.org/Vol-2258/paper6.pdf	https://scholar.google.com/scholar?q=related:UhB81AD64zEJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
11	X Li, H Liu, X Zhao, G Zhang, C Xing	Automatic approach for constructing a knowledge graph of knee osteoarthritis in Chinese	2020	Health information science and …	Springer	https://link.springer.com/article/10.1007/s13755-020-0102-4	https://scholar.google.com/scholar?cites=11957005180708334433&as_sdt=2005&sciodt=2007&hl=en	27	09/02/2022 10:40		10.1007/s13755-020-0102-4							11	5.50	2	5	2	In this study, a medical knowledge graph is constructed from the electronic medical record text of knee osteoarthritis patients to support intelligent medical applications such as knowledge retrieval and decision support, and to promote the sharing of medical resources. After …	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7046853/	https://scholar.google.com/scholar?q=related:YSugZdzQ76UJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
33	K Golden, B Hutchinson, A Behal, AO Marks…	Automatic definition of entity collections	2016	US Patent …	Google Patents	https://patents.google.com/patent/US9454599B2/en	https://scholar.google.com/scholar?cites=9488610908492543213&as_sdt=2005&sciodt=2007&hl=en	139	09/02/2022 10:40									33	5.50	7	5	6	A system for automatically generating entity collections comprises a data graph including entities connected by edges and instructions that cause the computer system to determine a set of entities from the data graph and to determine a set of constraints that has a quantity of …	https://patentimages.storage.googleapis.com/22/c5/69/f5bdbde6b8ad75/US9454599.pdf	https://scholar.google.com/scholar?q=related:7TSYNFlRroMJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
4	Z Su, M Hao, Q Zhang, B Chai…	Automatic knowledge graph construction based on relational data of power terminal equipment	2020	2020 5th International …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/9118512/	https://scholar.google.com/scholar?cites=18385995116189144062&as_sdt=2005&sciodt=2007&hl=en	31	09/02/2022 10:40									4	2.00	1	5	2	In the last years, Knowledge Graph (KG) has been widely applied in domain knowledge modeling, and therefore has received more attention in the Ubiquitous Power Internet of Things (UPIoT) that consists of a large number of power terminal equipment and sensing devices. In …		https://scholar.google.com/scholar?q=related:_lOFHiUtKP8J:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
1	R Lu, C Wang, X Huang, S Zhang	B-SPARQL: A typed language for Querying the Big Knowledge	2020	2020 IEEE International …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/9194459/	https://scholar.google.com/scholar?cites=4010365665061682259&as_sdt=2005&sciodt=2007&hl=en	76	09/02/2022 10:40									1	0.50	0	4	2	We introduce B-SPARQL as an extension of the classical SPARQL to deal with the problem of querying big knowledge. B-SPARQL extends SPARQL mainly in two directions. The first one is to query big knowledge in a global way such as `how much of the knowledge items of …		https://scholar.google.com/scholar?q=related:U7xsFVOupzcJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
0	D Zhao, F Tong, Z Luo, S Liu, W Song	"BROGUE: A Platform for Constructing and Visualizing"" Gene-Mutation-Disease"" Relation Knowledge Graphs to Support Biomedical Research and Clinical …"	2020	BIOINFORMATICS	scitepress.org	https://www.scitepress.org/Papers/2020/91546/91546.pdf		52	09/02/2022 10:40	PDF								0	0.00	0	5	2	1Information Center, Academy of Military Medical Sciences, Beijing, China 2Information Department, No. 920 Hospital of PLA, Yunnan, China 3Beijing MedPeer Information Technology Co., Ltd., Beijing, China {dszhao, tongfan}@ bmi. ac. cn, zhehengluo@ gmail. com,{liusheng…	https://www.scitepress.org/Papers/2020/91546/91546.pdf	https://scholar.google.com/scholar?q=related:SAjpaOp33FUJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It is a domain-specific KG, built one time. We did not consider such a case, as it is not about KG management platform.
2	C Barba González	Big data optimization: algorithmic framework for data analysis guided by semantics	2018		riuma.uma.es	https://riuma.uma.es/xmlui/handle/10630/17264	https://scholar.google.com/scholar?cites=16567738537317329380&as_sdt=2005&sciodt=2007&hl=en	153	09/02/2022 10:40									2	0.50	2	1	4	Over the past decade the rapid rise of creating data in all domains of knowledge such as traffic, medicine, social network, industry, etc., has highlighted the need for enhancing the process of analyzing large data volumes, in order to be able to manage them with more easiness …	https://riuma.uma.es/xmlui/bitstream/handle/10630/17264/TD_BARBA_GONZALEZ_Cristobal.pdf?sequence=1	https://scholar.google.com/scholar?q=related:5GlZiGtu7OUJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
0	MF Sy, B Roman, S Kerrien, DM Mendez, H Genet…	Blue Brain Nexus: An open, secure, scalable system for knowledge graph management and data-driven science		semantic-web-journal.net		http://www.semantic-web-journal.net/system/files/swj2974.pdf		43	09/02/2022 10:40	PDF								0	0.00	0	6		Modern data-driven science often consists of iterative cycles of data discovery, acquisition, preparation, analysis, model building and validation leading to knowledge discovery as well as dissemination at scale. The unique challenges of building and simulating the whole rodent …	http://www.semantic-web-journal.net/system/files/swj2974.pdf	https://scholar.google.com/scholar?q=related:z_KsvOafMAcJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Selected	It is about the KG management platform. 
10	R Taelman, M Vander Sande, R Verborgh	Bridges between GraphQL and RDF	2019	W3C Workshop on Web …	w3.org	http://www.w3.org/Data/events/data-ws-2019/assets/position/Ruben%20Taelman.pdf	https://scholar.google.com/scholar?cites=9104536717334158097&as_sdt=2005&sciodt=2007&hl=en	73	09/02/2022 10:40	PDF								10	3.33	3	3	3	GraphQL offers a highly popular query languages for graphs, which is well known among Web developers. Each GraphQL data graph is scoped within an interfacespecific schema, which makes it difficult to integrate data from mul tiple interfaces. The RDF graph model offers a …	http://www.w3.org/Data/events/data-ws-2019/assets/position/Ruben%20Taelman.pdf	https://scholar.google.com/scholar?q=related:ERs0EejPWX4J:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
0	H Liu, Y Sun, S Cao	Building a COVID-19 Literature Knowledge Graph Based on PubMed	2021	International Conference on Medical Imaging and …	Springer	https://link.springer.com/chapter/10.1007/978-981-16-3880-0_38		39	09/02/2022 10:40		10.1007/978-981-16-3880-0_38							0	0.00	0	3	1	COVID-19, the most destructive global event in 2020, poses gigantic challenges to global medical systems. Meanwhile, the useful concepts and newly-emerging technical terms in medical field generate ambiguity and bring difficulties in extraction, which would set immense …		https://scholar.google.com/scholar?q=related:3ZDt12-xxIIJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
2	V Alexiev, N GEORGIEV	Bulgarian Icons in Wikidata and EDM	2020	… Presentation and Preservation of Cultural and …	ceeol.com	https://www.ceeol.com/search/article-detail?id=902098	https://scholar.google.com/scholar?cites=8140828736742830513&as_sdt=2005&sciodt=2007&hl=en	65	09/02/2022 10:40									2	1.00	1	2	2	"… It is also a Knowledge Graph platform for integrating and leveraging GLAM data. The Wikidata Strategy 2019 includes 3 parts, of which ""Wikidata as a platform"" is strongly GLAM-oriented. The WikiMedia foundation has strong GLAM Wiki outreach activities including: • Case …"	https://dipp.math.bas.bg/images/2020/045-064_1.2_iDiPP2020-24_v.1c.pdf	https://scholar.google.com/scholar?q=related:sTHZppoI-nAJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
