PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;
Towards a Semantic Toolbox for Reproducible Knowledge Graph Generation in the Biodiversity Domain-How to Make the Most out of Biodiversity Data;2021;S Babalou;;dl.gi.de;https://dl.gi.de/handle/20.500.12116/37709;FALSE;FALSE;;
A wiki based portal to the biodiversity knowledge graph.;2015;J Sachs;;mbgocs.mobot.org;https://mbgocs.mobot.org/index.php/tdwg/2015/paper/view/788;FALSE;FALSE;;
Hydro-graph: A knowledge graph for hydrogen research trends and relations;2020;R Lin;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0360319919345367;TRUE;FALSE;;
OceanGraph: Some Initial Steps Toward a Oceanographic Knowledge Graph;2019;M Zárate;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-21395-4_3;FALSE;FALSE;;
Some Challenges in Working with Biodiversity Ontologies;2016;J Sachs;;mbgocs.mobot.org;https://mbgocs.mobot.org/index.php/tdwg/tdwg2016/paper/view/1093/0;FALSE;FALSE;;
People are essential to linking biodiversity data;2020;Q Groom;;academic.oup.com;https://academic.oup.com/database/article-abstract/doi/10.1093/database/baaa072/6094701;FALSE;FALSE;;
[HTML][HTML] Liberating links between datasets using lightweight data publishing: an example using plant names and the taxonomic literature;2018;R Page;;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6066477/;FALSE;FALSE;;
[PDF][PDF] Species Association Knowledge Graph Construction-A Demo Paper;2019;B König-Ries;;ceur-ws.org;http://ceur-ws.org/Vol-2849/paper-30.pdf;FALSE;FALSE;;
[PDF][PDF] Bringing a Semantic MediaWiki Flora to Life;2018;J Pender;;biss.pensoft.net;https://biss.pensoft.net/article/25885/download/pdf/;FALSE;FALSE;;
Knowledge Graphs;2021;R Page;;search.proquest.com;https://search.proquest.com/openview/227ab789b872dce2fcef04644998ebde/1?pq-origsite=gscholar&cbl=2049297;FALSE;FALSE;;
From catalogs to phenotypes: The evolution and current status of TaxonWorks with emphasis on its utility for entomologists;2016;MJ Yoder;;experts.illinois.edu;https://experts.illinois.edu/en/publications/from-catalogs-to-phenotypes-the-evolution-and-current-status-of-t;FALSE;FALSE;;
[HTML][HTML] OpenBiodiv-O: ontology of the OpenBiodiv knowledge management system;2018;V Senderov;;Springer;https://link.springer.com/article/10.1186/s13326-017-0174-5;FALSE;FALSE;;
[PDF][PDF] Advancing the catalogue of the world's natural history collections;2020;D Hobern;;biss.pensoft.net;https://biss.pensoft.net/article/59324/download/pdf/;FALSE;FALSE;;
Harmonizing Big Data with a Knowledge Graph: OceanGraph KG Uses Case;2020;M Zárate;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-61218-4_6;FALSE;FALSE;;
Data S3: Data for Fig. 11;2019;RDM Page;;scilit.net;https://www.scilit.net/article/acb4f6f68c54d93189b585ca828dd464;FALSE;FALSE;;
OpenBiodiv-O Ontology: Bridging the Gap Between Biodiversity Data and Biodiversity Publishing.;2019;M Dimitrova;;go.gale.com;https://go.gale.com/ps/i.do?id=GALE%7CA646393844&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=25350897&p=AONE&sw=w;FALSE;FALSE;;
Automating the construction of higher order data representations from heterogeneous biodiversity datasets;2019;N Nicolson;;bura.brunel.ac.uk;https://bura.brunel.ac.uk/handle/2438/19620;FALSE;FALSE;;
Application of Semantic Technology in Biodiversity Science: An Introduction;2018;AE Thessen;;ebooks.iospress.nl;https://ebooks.iospress.nl/pdf/doi/10.3233/978-1-61499-854-9-3;FALSE;FALSE;;
Progress in Authority Management of People Names for Collections.;2019;QJ Groom;;go.gale.com;https://go.gale.com/ps/i.do?id=GALE%7CA646393840&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=25350897&p=AONE&sw=w;FALSE;FALSE;;
[PDF][PDF] Text-mining BHL: towards new interfaces to the biodiversity literature;2019;R Page;;biss.pensoft.net;https://biss.pensoft.net/article/35013/download/pdf/;FALSE;FALSE;;
What's in a name?: Sense and Reference in biodiversity information;2016;J Philipson;;diva-portal.org;https://www.diva-portal.org/smash/record.jsf?pid=diva2:1071596;FALSE;FALSE;;
[PDF][PDF] OpenBiodiv: Linking type materials; institutions; locations and taxonomic names extracted from scholarly literature;2019;M Dimitrova;;biss.pensoft.net;https://biss.pensoft.net/article/35089/download/pdf/;FALSE;FALSE
Strings to things: a user-friendly framework for data reconciliation;2015;N Nicolson;;mbgocs.mobot.org;https://mbgocs.mobot.org/index.php/tdwg/2015/paper/view/829;FALSE;FALSE;;
Enhancing Diptera systematics: from single researcher to global specimen data network;2016;T Dikow;;scholar.archive.org;https://scholar.archive.org/work/t2hofaiiqfcnbnyirqoqg5essm/access/wayback/https://s3.us-east-2.amazonaws.com/pstorage-si-9094369797/6203889/dikowt_ice_20160930.pdf;FALSE;FALSE;;
Reconciling author names in taxonomic and publication databases;2019;RDM Page;;biorxiv.org;https://www.biorxiv.org/content/10.1101/870170v1.abstract;FALSE;FALSE;;
Data Auditing; Cleaning and Quality Assurance Workflows from the Experience of a Scholarly Publisher;2019;L Penev;;search.proquest.com;https://search.proquest.com/openview/667bac632e5dac36b8aede2ef78ee1f9/1?pq-origsite=gscholar&cbl=2049297;FALSE;FALSE;
Robust Integration of Biodiversity Data by Process-and State-based Representation of Object Histories and Modular Application Architecture;2021;C Bölling;;search.proquest.com;https://search.proquest.com/openview/aa93c978b2d8c7de7a99160087ffb38c/1?pq-origsite=gscholar&cbl=2049297;FALSE;FALSE;;
Liberating host-virus knowledge from biological dark data;2021;N Upham;;ecoevorxiv.org;https://ecoevorxiv.org/txekq;FALSE;FALSE;;
[PDF][PDF] Mobilizing Data from Taxonomic Literature for an Iconic Species (Dinosauria; Theropoda; Tyrannosaurus rex);2019;J Miller;;biss.pensoft.net;https://biss.pensoft.net/article/37078/download/pdf/;FALSE;FALSE
[PDF][PDF] Mobilizing historical literature and specimen data to study host plant associations in weevils (Curculionoidea);2016;G Zhang;;researchgate.net;https://www.researchgate.net/profile/Gavin-Zhang-zhangguanyang/publication/308794635_Mobilizing_historical_literature_and_specimen_data_to_study_host_plant_associations_in_weevils_Curculionoidea/links/57f26c2308ae886b897bfa1e/Mobilizing-historical-literature-and-specimen-data-to-study-host-plant-associations-in-weevils-Curculionoidea.pdf;FALSE;FALSE;;
LOBD: Linked Data Dashboard for Marine Biodiversity;2021;M Zárate;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-84825-5_11;FALSE;FALSE;;
Next Generation Publishing for Biodiversity using Pensoft's Arpha Writing Tool and Publishing System;2016;L Penev;;mbgocs.mobot.org;https://mbgocs.mobot.org/index.php/tdwg/tdwg2016/paper/view/1117;FALSE;FALSE;;
Building a COVID-19 Literature Knowledge Graph Based on PubMed;2021;H Liu;;Springer;https://link.springer.com/chapter/10.1007/978-981-16-3880-0_38;TRUE;FALSE;;
European Journal of Taxonomy: a deeper look into a decade of data;2021;L Bénichou;;europeanjournaloftaxonomy.eu;https://europeanjournaloftaxonomy.eu/index.php/ejt/article/view/1597;FALSE;FALSE;;
Towards Transforming Tabular Datasets into Knowledge Graphs;2020;N Abdelmageed;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-62327-2_37;FALSE;FALSE;;
Biodiversity storytelling through digitization: Highlighting institution-based research;2016;V Shirey;;researchgate.net;https://www.researchgate.net/profile/Vaughn_Shirey/publication/305799033_Biodiversity_storytelling_through_digitization_Highlighting_institution-based_research/links/59751360aca2728d02545689/Biodiversity-storytelling-through-digitization-Highlighting-institution-based-research;FALSE;FALSE;;
[PDF][PDF] Biodiversity informatics training curriculum; version 1.2;2016;AT Peterson;;129.237.36.133;https://129.237.36.133/jbi/article/download/5008/5167;FALSE;FALSE;
Nanopublications for biodiversity: concept; formats and implementation;2016;L Penev;;192.104.39.235;https://192.104.39.235/index.php/tdwg/tdwg2016/paper/view/1012;FALSE;FALSE;
ISTMINER: Interactive Spatiotemporal Co-occurrence Pattern Extraction: A Biodiversity case study;2021;D Sharafeldeen;;dl.gi.de;https://dl.gi.de/handle/20.500.12116/37708;FALSE;FALSE;;
Linked Open Data Model for Taxonomic Information;2018;R Chawuthai;;ebooks.iospress.nl;https://ebooks.iospress.nl/pdf/doi/10.3233/978-1-61499-854-9-29;FALSE;FALSE;;
A Study on Crowdsourcing for Multi-Label Affect Annotation;xx;L Duan;;jstage.jst.go.jp;https://www.jstage.jst.go.jp/article/jjsai/32/1/32_128/_article/-char/ja/;FALSE;FALSE;;
[HTML][HTML] Using standard keywords in publications to facilitate updates of new fungal taxonomic names;2017;CL Schoch;;imafungus.biomedcentral.com;https://imafungus.biomedcentral.com/articles/10.1007/BF03449466;FALSE;FALSE;;
[PDF][PDF] The Pensoft data publishing workflow: The FAIRway from articles to Linked Open Data;2019;L Penev;;biss.pensoft.net;https://biss.pensoft.net/article/35902/download/pdf/;FALSE;FALSE;;
[PDF][PDF] Shaping your taxonomic legacy: tools to accelerate biodiversity discovery & make data openly accessible;2017;T Dikow;;smithsonian.figshare.com;https://smithsonian.figshare.com/articles/Shaping_your_taxonomic_legacy_tools_to_accelerate_biodiversity_discovery_make_data_openly_accessible/5346259/files/9183109.pdf;FALSE;FALSE;;
[HTML][HTML] ARPHA-BioDiv: A toolbox for scholarly publication and dissemination of biodiversity data based on the ARPHA Publishing Platform;2017;L Penev;;riojournal.com;https://riojournal.com/article_preview.php?id=13088;FALSE;FALSE;;
A simple model for large-scale data mobilization across a diverse organisation;2015;N Nicolson;;mbgocs.mobot.org;https://mbgocs.mobot.org/index.php/tdwg/2015/paper/view/881;FALSE;FALSE;;
The 1 Million Treatment Goal: How to create access to taxonomic treatments;2014;D Agosti;;mbgocs.mobot.org;https://mbgocs.mobot.org/index.php/tdwg/2014/paper/view/714/0;FALSE;FALSE;;
[PDF][PDF] Data ownership and data publishing;2019;L Penev;;aca.pensoft.net;https://aca.pensoft.net/article/39250/download/pdf/;FALSE;FALSE;;
Knowledge-based Biomedical Data Science 2019;2019;TJ Callahan;;arxiv.org;https://arxiv.org/abs/1910.06710;FALSE;FALSE;;
Development of a module to manage the structure of a knowledge network in the education sector;2021;FM Wbario;;scielo.org.mx;http://www.scielo.org.mx/scielo.php?pid=S2007-78902021000600028&script=sci_abstract&tlng=en;FALSE;FALSE;;
[HTML][HTML] Representing COVID-19 information in collaborative knowledge graphs: the case of Wikidata;2021;H Turki;;content.iospress.com;https://content.iospress.com/articles/semantic-web/sw210444;TRUE;FALSE;;
[HTML][HTML] Biodiversity Observations Miner: A web application to unlock primary biodiversity data from published literature;2019;G Muñoz;;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6344444/;FALSE;FALSE;;
Interlinking standardized openstreetmap data and citizen science data in the opendata cloud;2017;W Leyh;;Springer;https://link.springer.com/chapter/10.1007/978-3-319-60366-7_9;FALSE;FALSE;;
Library Carpentry: Towards a New Professional Dimension (Part III–Data Reconciliation; Named Entity Recognition and Advanced Utilities);2021;P Mukhopadhyay;;srels.in;http://srels.in/index.php/sjim/article/view/166770;FALSE;FALSE;
[HTML][HTML] Harnessing biomedical natural language processing tools to identify medicinal plant knowledge from historical texts;2017;V Sharma;;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5977595/;FALSE;FALSE;;
Knowledge-based biomedical data science;2020;TJ Callahan;;annualreviews.org;https://www.annualreviews.org/doi/abs/10.1146/annurev-biodatasci-010820-091627;FALSE;FALSE;;
Citizen science involving collections of standardized community data;2017;W Leyh;;Springer;https://link.springer.com/chapter/10.1007/978-3-319-60642-2_39;FALSE;FALSE;;
[PDF][PDF] Representing COVID-19 information in collaborative knowledge graphs: the case of Wikidata;xx;EA Youngstromg;;semantic-web-journal.net;http://www.semantic-web-journal.net/system/files/swj2824.pdf;FALSE;FALSE;;
Incorporating RDA outputs in the design of a European Research Infrastructure for natural science collections;2020;S Islam;;orca.cf.ac.uk;http://orca.cf.ac.uk/id/eprint/137056;FALSE;FALSE;;
Traits: structuring species information for discoverability; navigation and identification;2018;T Vattakaven;;Springer;https://link.springer.com/chapter/10.1007/978-3-319-76445-0_6;FALSE;FALSE;
Enhancing georeferenced biodiversity inventories: automated information extraction from literature records reveal the gaps;2020;BT Kopperud;;biorxiv.org;https://www.biorxiv.org/content/10.1101/2020.01.16.908962v1.abstract;FALSE;FALSE;;
White paper on the alignment and interoperability between the Distributed System of Scientific Collections (DiSSCo) and EU infrastructures-The case of the European …;2020;N Raes;;know.dissco.eu;https://know.dissco.eu/handle/item/244;FALSE;FALSE;;
[PDF][PDF] Empowering citizens to inform decision-making as a way forward to support invasive alien species policy;2019;Q Groom;;biblio.ugent.be;https://biblio.ugent.be/publication/8641343/file/8655508;FALSE;FALSE;;
[HTML][HTML] Open science in practice: 300 published research ideas and outcomes illustrate how RIO Journal facilitates engagement with the research process;2021;D Mietchen;;riojournal.com;https://riojournal.com/article_preview.php?id=68595;FALSE;FALSE;;
Standard data model representation for taxonomic information;2006;J Kennedy;;liebertpub.com;https://www.liebertpub.com/doi/abs/10.1089/omi.2006.10.220;FALSE;FALSE;;
Sample Identifiers and Metadata to Support Data Management and Reuse in Multidisciplinary Ecosystem Sciences;2021;JE Damerow;;osti.gov;https://www.osti.gov/biblio/1768764;FALSE;FALSE;;
About a BUOI: Joint custody of persistent universally unique identifiers on the web; or; making PIDs more FAIR;2017;J Philipson;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-01379-0_3;FALSE;FALSE
D5. 4 A best practice guide for semantic enhancement and improvement of semantic interoperability;2021;M Dillen;;know.dissco.eu;https://know.dissco.eu/handle/item/77;FALSE;FALSE;;
[HTML][HTML] Identifying PIDs playing FAIR;2019;J Philipson;;content.iospress.com;https://content.iospress.com/articles/data-science/ds190024;FALSE;FALSE;;
[PDF][PDF] Community conservation data in New Zealand: A review of community-collected conservation data and suggestions for improvement;xx;G Moon;;georgemoon.io;https://georgemoon.io/dissertation/community-conservation-data.pdf;FALSE;FALSE;;
