PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;;
Construction of Chinese Pediatric Medical Knowledge Graph;9;Y Song;;books.google.com;https://books.google.com/books?hl=en&lr=&id=eHfRDwAAQBAJ&oi=fnd&pg=PA213&dq=%22Medical+knowledge+graph%22+&ots=w2xMxKWGjO&sig=V_J607qDJQ79UHYZIOj4vmAz8ks;TRUE;FALSE;;;
[HTML][HTML] Learning a health knowledge graph from electronic medical records;2017;M Rotmensch;;nature.com;https://www.nature.com/articles/s41598-017-05778-z;TRUE;FALSE;;;
Construction of traditional Chinese medicine knowledge graph using data mining and expert knowledge;2018;B Cheng;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8525665/;TRUE;FALSE;;;
CLMed: a cross-lingual knowledge graph framework for cardiovascular diseases;2019;M Sheng;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-30952-7_51;TRUE;FALSE;;;
[HTML][HTML] Head and Tail Entity Fusion Model in Medical Knowledge Graph Construction: Case Study for Pituitary Adenoma;2021;A Fang;;medinform.jmir.org;https://medinform.jmir.org/2021/7/e28218/;FALSE;FALSE;;;
Auto-Encoding Knowledge Graph for Unsupervised Medical Report Generation;2021;F Liu;;proceedings.neurips.cc;https://proceedings.neurips.cc/paper/2021/hash/876e1c59023b1a0e95808168e1a8ff89-Abstract.html;FALSE;FALSE;;;
A data-intensive CDSS platform based on knowledge graph;2018;M Sheng;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-01078-2_13;FALSE;FALSE;;;
A survey of recommendation algorithms based on knowledge graph embedding;2019;C Liu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8938875/;FALSE;FALSE;;;
An Improved Approach to the Construction of Chinese Medical Knowledge Graph Based on CTD-BLSTM Model;2021;Y Wu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9430549/;TRUE;FALSE;;;
DiaKG: an Annotated Diabetes Dataset for Medical Knowledge Graph Construction;2021;D Chang;;arxiv.org;https://arxiv.org/abs/2105.15033;FALSE;FALSE;;;
Knowledge-Graph-Based Drug Repositioning against COVID-19 by graph convolutional network with attention mechanism;2021;M Che;;mdpi.com;https://www.mdpi.com/952036;FALSE;FALSE;;;
[HTML][HTML] Construction of a digestive system tumor knowledge graph based on chinese electronic medical records: development and usability study;2020;X Xiu;;medinform.jmir.org;https://medinform.jmir.org/2020/10/e18287?utm_source=TrendMD&utm_medium=cpc&utm_campaign=JMIR_TrendMD_1;TRUE;FALSE;;;
PrTransH: embedding probabilistic medical knowledge from real world EMR data;2019;L Li;;ui.adsabs.harvard.edu;https://ui.adsabs.harvard.edu/abs/2019arXiv190900672L/abstract;FALSE;FALSE;;;
Drug Repurposing for Parkinson's Disease by Integrating Knowledge Graph Completion Model and Knowledge Fusion of Medical Literature;2021;X Zhang;;mdpi.com;https://www.mdpi.com/953838;FALSE;FALSE;;;
Domain knowledge graph-based research progress of knowledge representation;2021;J Lin;;Springer;https://link.springer.com/article/10.1007/s00521-020-05057-5;FALSE;FALSE;;;
Real-time sepsis severity prediction on knowledge graph deep learning networks for the intensive care unit;2020;Q Li;;Elsevier;https://www.sciencedirect.com/science/article/pii/S1047320320301425;FALSE;FALSE;;;
[PDF][PDF] Learning Patient Similarity via Heterogeneous Medical Knowledge Graph Embedding.;2021;Z Lin;;iaeng.org;http://www.iaeng.org/IJCS/issues_v48/issue_4/IJCS_48_4_03.pdf;FALSE;FALSE;;;
SMR: Medical knowledge graph embedding for safe medicine recommendation;2017;F Gong;;arxiv.org;https://arxiv.org/abs/1710.05980;FALSE;FALSE;;;
Demographic Aware Probabilistic Medical Knowledge Graph Embeddings of Electronic Medical Records;2021;A Guluzade;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-77211-6_48;FALSE;FALSE;;;
Open Drug Knowledge Graph;2021;M Mann;;openreview.net;https://openreview.net/forum?id=3izmXsxSKQn;TRUE;FALSE;;;
MKGB: A Medical Knowledge Graph Construction Framework Based on Data Lake and Active Learning;2021;P Ren;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-90885-0_22;TRUE;FALSE;;;
[HTML][HTML] A knowledge graph based question answering method for medical domain;2021;X Huang;;peerj.com;https://peerj.com/articles/cs-667/;FALSE;FALSE;;;
A Comparison Study of Direct Inference and Knowledge Compensating Generalized Inference as Multidisciplinary for Medical Knowledge Graph;2021;J Xi;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9624351/;FALSE;FALSE;;;
Knowledge graph-based clinical decision support system reasoning: a survey;2019;X Xiang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8923457/;FALSE;FALSE;;;
[HTML][HTML] Hkgb: An inclusive; extensible; intelligent; semi-auto-constructed knowledge graph framework for healthcare with clinicians' expertise incorporated;2020;Y Zhang;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0306457320308190;FALSE;FALSE
DiaKG: An Annotated Diabetes Dataset for Medical Knowledge Graph Construction;2021;B Xu;;books.google.com;https://books.google.com/books?hl=en&lr=&id=X8pKEAAAQBAJ&oi=fnd&pg=PA308&dq=%22Medical+knowledge+graph%22+&ots=v_liqvo55X&sig=HTvUAZyEAEdryL9eoSjuFFgwW2s;FALSE;FALSE;;;
MeKG: building a medical knowledge graph by data mining from MEDLINE;2019;T Pham;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-37078-7_16;TRUE;FALSE;;;
[HTML][HTML] Constructing public health evidence knowledge graph for decision-making support from COVID-19 literature of modelling study;2021;Y Yang;;Elsevier;https://www.sciencedirect.com/science/article/pii/S266644962100030X;TRUE;FALSE;;;
[HTML][HTML] A survey on knowledge graph-based recommender systems;2020;C Qin;;engine.scichina.com;https://engine.scichina.com/doi/10.1360/SSI-2019-0274?slug=fulltext;FALSE;FALSE;;;
Research on Disease Diagnosis Method Combining Knowledge Graph and Deep Learning;2020;L DONG;;engine.scichina.com;https://engine.scichina.com/doi/10.3778/j.issn.1673-9418.1908018;FALSE;FALSE;;;
Research on intelligent medicine based on knowledge graph;2017;YU Siwei;;wprim.whocc.org.cn;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=606505&articleId=606505;FALSE;FALSE;;;
Medwriter: Knowledge-aware medical text generation;28;Y Pan;;aclweb.org;https://www.aclweb.org/anthology/2020.coling-main.214/;FALSE;FALSE;;;
A knowledge graph enhanced topic modeling approach for herb recommendation;2019;X Wang;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-18576-3_42;FALSE;FALSE;;;
A review: Knowledge reasoning over knowledge graph;2020;X Chen;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0957417419306669;FALSE;FALSE;;;
DKDR: An Approach of Knowledge Graph and Deep Reinforcement Learning for Disease Diagnosis;2019;Y Jia;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9047423/;TRUE;FALSE;;;
[PDF][PDF] Diagnosis Ranking with Knowledge Graph Convolutional Networks.;1;B Liu;;ielab.io;http://ielab.io/publications/pdfs/bing2021ecir-diagnosisranking.pdf;FALSE;FALSE;;;
A knowledge graph of medical institutions in Korea;2021;H Kim;;Elsevier;https://www.sciencedirect.com/science/article/pii/B9780128224687000018;TRUE;FALSE;;;
A Chinese Machine Reading Comprehension Dataset Automatic Generated Based on Knowledge Graph;2021;H Zhao;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-84186-7_18;FALSE;FALSE;;;
Research of Medical Aided Diagnosis System Based on Temporal Knowledge Graph;2020;F Song;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-65390-3_19;FALSE;FALSE;;;
[PDF][PDF] Research on Entity Recognition and Knowledge Graph Construction Based on Tcm Medical Records;2021;Y YANG;;clausiuspress.com;https://www.clausiuspress.com/assets/default/article/2021/10/14/article_1634208590.pdf;FALSE;FALSE;;;
A Review of Medical Decision Supports Based on Knowledge Graph;2020;Z Chaoyu;;manu44.magtech.com.cn;http://manu44.magtech.com.cn/Jwk_infotech_wk3/EN/10.11925/infotech.2096-3467.2020.0953;FALSE;FALSE;;;
[PDF][PDF] A User Interaction Demonstration For Exploring Medical Knowledge Graph.;2019;J Xiao;;ceur-ws.org;http://ceur-ws.org/Vol-2456/paper73.pdf;FALSE;FALSE;;;
Modeling path information for knowledge graph completion;2021;Y Shen;;Springer;https://link.springer.com/article/10.1007/s00521-021-06460-2;FALSE;FALSE;;;
Research on Intelligent Question Answering System Based on Medical Knowledge Graph;2019;Q Shuai;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8997728/;FALSE;FALSE;;;
Effective medical archives processing using knowledge graphs;42;X Wang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3331184.3331350;FALSE;FALSE;;;
[PDF][PDF] Babylon Health's Medical Knowledge Graph: Why; What; and How.;4;C Schulz;;ceur-ws.org;http://ceur-ws.org/Vol-2849/paper-18.pdf;FALSE;FALSE;
Medical Entity Recognition Based on BiLSTM with Knowledge Graph and Attention Mechanism;2021;Q Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9527569/;FALSE;FALSE;;;
The Intelligent Diagnostic System for Common Diseases using the Optimized Medical Knowledge Graph;2020;J Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9148406/;FALSE;FALSE;;;
Annotation Scheme and Specification for Named Entities and Relations on Chinese Medical Knowledge Graph;2019;D Yue;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-38189-9_58;FALSE;FALSE;;;
A Novel Disease Diagnosis Method Using Combining Knowledge Graph and Deep Learning;2021;X Cai;;ingentaconnect.com;https://www.ingentaconnect.com/contentone/asp/jmihi/2021/00000011/00000007/art00008;FALSE;FALSE;;;
A Chinese Knowledge Graph for Cardiovascular Disease;2020;X Li;;Springer;https://link.springer.com/chapter/10.1007/978-981-15-8411-4_239;TRUE;FALSE;;;
Automatic recommendation of medical departments to outpatients based on text analyses and medical knowledge graph;xx;Q Zhou;;content.iospress.com;https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs210599;FALSE;FALSE;;;
[HTML][HTML] Research on Construction of Knowledge Graph of Intestinal Cells;2020;F He;;atlantis-press.com;https://www.atlantis-press.com/journals/jaims/125944781/view;FALSE;FALSE;;;
DeepKG: An End-to-End Deep Learning-Based Workflow for Biomedical Knowledge Graph Extraction; Optimization and Applications.;2021;Z Li;;europepmc.org;https://europepmc.org/article/pmc/pmc8689937;FALSE;FALSE;;
Preliminary Study on the Knowledge Graph Construction of Chinese Ancient History and Culture;2020;S Liu;;mdpi.com;https://www.mdpi.com/677820;FALSE;FALSE;;;
Training like Playing: A Reinforcement Learning And Knowledge Graph-based framework for building Automatic Consultation System in Medical Field;2106;Y Huang;;arxiv.org;https://arxiv.org/abs/2106.07502;FALSE;FALSE;;;
Construction of Neurosurgery Knowledge Graph Based on Bi-LSTM-CRF Model;4;Y Shi;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3424978.3425095;TRUE;FALSE;;;
Design and Construction of Knowledge Graph of Electronic Medical Record Based on BiLSTM-CRF;2021;J Zhao;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3490322.3490334;TRUE;FALSE;;;
Drug Repositioning via Text Augmented Knowledge Graph Embeddings;2021;M Zhong;;openreview.net;https://openreview.net/forum?id=qI-IS8DPq_N;FALSE;FALSE;;;
Construction and Application of a Tree Knowledge Graph;2021;X Meng;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9516607/;TRUE;FALSE;;;
Deterrent: Knowledge guided graph attention network for detecting healthcare misinformation;26;L Cui;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3394486.3403092;FALSE;FALSE;;;
Construction of MeSH-like obstetric knowledge graph;2018;K Zhang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8644569/;TRUE;FALSE;;;
Graph Neural Network-Based Diagnosis Prediction;2020;Y Li;;liebertpub.com;https://www.liebertpub.com/doi/abs/10.1089/big.2020.0070;FALSE;FALSE;;;
Constructing knowledge graphs of depression;2017;Z Huang;;Springer;https://link.springer.com/chapter/10.1007/978-3-319-69182-4_16;TRUE;FALSE;;;
Migration knowledge graph framework and its application;2021;T Pu;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1955/1/012071/meta;FALSE;FALSE;;;
Overview Of Medical Knowledge Mapping Research;2020;P Shengguang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9424795/;FALSE;FALSE;;;
A Knowledge Graph Based Medical Intelligent Question Answering System;2021;K Zhang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9574515/;FALSE;FALSE;;;
A knowledge graph for eldercare: constructing a domain entity graph with guidelines;2018;Y Duan;;Springer;https://link.springer.com/chapter/10.1007/978-3-319-92037-5_3;TRUE;FALSE;;;
Research on Application of Chinese Natural Language Processing in Constructing Knowledge Graph of Chronic Diseases;2021;S Qin;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9445976/;FALSE;FALSE;;;
Research on intelligent medicine based on knowledge graph;2017;S YU;;pesquisa.bvsalud.org;https://pesquisa.bvsalud.org/portal/resource/pt/wpr-606505;FALSE;FALSE;;;
Multi-modal Multi-relational Feature Aggregation Network for Medical Knowledge Representation Learning;28;Y Zhang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3394171.3413736;FALSE;FALSE;;;
[PDF][PDF] Medical Knowledge Graph Construction by Aligning Large Biomedical Datasets;xx;G Stoilos;;disi.unitn.it;http://disi.unitn.it/~pavel/om2018/papers/om2018_poster2.pdf;TRUE;FALSE;;;
[HTML][HTML] Explainable prediction of medical codes with knowledge graphs;2020;F Teng;;frontiersin.org;https://www.frontiersin.org/articles/10.3389/fbioe.2020.00867/full;FALSE;FALSE;;;
An error recognition method for power equipment defect records based on knowledge graph technology;2019;H Wang;;Springer;https://link.springer.com/article/10.1631/FITEE.1800260;FALSE;FALSE;;;
Integrating graph contextualized knowledge into pre-trained language models;2019;B He;;arxiv.org;https://arxiv.org/abs/1912.00147;FALSE;FALSE;;;
Edge: Enriching Knowledge Graph Embeddings with External Text;2021;S Rezayi;;arxiv.org;https://arxiv.org/abs/2104.04909;FALSE;FALSE;;;
Knowledge graph fusion for smart systems: A survey;2020;HL Nguyen;;Elsevier;https://www.sciencedirect.com/science/article/pii/S1566253519307729;FALSE;FALSE;;;
Research on Tibetan Medicine Entity Recognition and Knowledge Graph Construction;2020;N Zhaxi;;Springer;https://link.springer.com/chapter/10.1007/978-981-15-8462-6_196;FALSE;FALSE;;;
Multi-modal knowledge-aware hierarchical attention network for explainable medical question answering;27;Y Zhang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3343031.3351033;FALSE;FALSE;;;
Drug Repurposing for Parkinson's Disease by Integrating Knowledge Graph Completion Model and Knowledge Fusion of Medical Literature. Future Internet 2021; 13��;2021;X Zhang;;search.proquest.com;https://search.proquest.com/openview/bca1b4896b4b1f7f315fce1e377c8af4/1?pq-origsite=gscholar&cbl=2032396;FALSE;FALSE;;
Multi-relational knowledge graph completion method with local information fusion;2021;J Huang;;Springer;https://link.springer.com/article/10.1007/s10489-021-02876-4;FALSE;FALSE;;;
Medical Entity Extraction and Knowledge Graph Construction;2019;WEI DENG;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9067598/;TRUE;FALSE;;;
Knowledge Question-Answering System Based on Knowledge Graph of Traditional Chinese Medicine;2020;R Gao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9339040/;FALSE;FALSE;;;
End-to-end knowledge-routed relational dialogue system for automatic diagnosis;2019;L Xu;;ojs.aaai.org;https://ojs.aaai.org/index.php/AAAI/article/view/4722;FALSE;FALSE;;;
Incorporating description embeddings into medical knowledge graphs representation learning;2018;X Sun;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-15127-0_19;FALSE;FALSE;;;
[PDF][PDF] Disease Diagnosis of Dairy Cow by Deep Learning Based on Knowledge Graph and Transfer Learning;2021;M Gao;;biomed.bas.bg;http://www.biomed.bas.bg/bioautomation/2021/vol_25.1/files/25.1_07.pdf;FALSE;FALSE;;;
KGBReF: A Knowledge Graph based Biomedical Relation Extraction Framework;2;Y Sun;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3500931.3500952;FALSE;FALSE;;;
Construction of knowledge graph of drug-action mechanism;2021;J Zhao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9527642/;TRUE;FALSE;;;
[HTML][HTML] Multitask Healthcare Management Recommendation System Leveraging Knowledge Graph;2021;W Liu;;hindawi.com;https://www.hindawi.com/journals/jhe/2021/1233483/;FALSE;FALSE;;;
Construction of Knowledge Graph of HIV-associated Neurocognitive Disorders Syndrome based on Deep Learning;2020;D Sun;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9361169/;TRUE;FALSE;;;
An Intelligent Question-Answering System for Myopia Prevention and Control based on Knowledge Graph;2;Y Sun;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3500931.3500947;FALSE;FALSE;;;
MedPath: Augmenting Health Risk Prediction via Medical Knowledge Paths;2021;M Ye;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3442381.3449860;FALSE;FALSE;;;
[HTML][HTML] MKA: A Scalable Medical Knowledge-Assisted Mechanism for Generative Models on Medical Conversation Tasks;2021;K Liang;;hindawi.com;https://www.hindawi.com/journals/cmmm/2021/5294627/;FALSE;FALSE;;;
Research on Disease Diagnosis Method Combining Knowledge Graph and Deep Learning;2020;D Lili;;fcst.ceaj.org;http://fcst.ceaj.org/EN/10.3778/j.issn.1673-9418.1908018;FALSE;FALSE;;;
[PDF][PDF] Towards medical machine reading comprehension with structural knowledge and plain text;2020;D Li;;aclweb.org;https://www.aclweb.org/anthology/2020.emnlp-main.111.pdf;FALSE;FALSE;;;
MedTruth: a semi-supervised approach to discovering knowledge condition information from multi-source medical data;28;Y Deng;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3357384.3357934;FALSE;FALSE;;;
Ontology Database Construction for Medical Knowledge Base;2019;N Zhang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8940264/;FALSE;FALSE;;;
Domain knowledge guided deep learning with electronic health records;2019;C Yin;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8970777/;FALSE;FALSE;;;
Knowledge-Graph-Based Drug Repositioning against COVID-19 by Graph Convolutional Network with Attention Mechanism. Future Internet 2021;13;13;2021;M Che;;search.proquest.com;https://search.proquest.com/openview/55041aa3aa8022e1788b5d5046a8fe47/1?pq-origsite=gscholar&cbl=2032396;FALSE;FALSE;
Construction of Therapy-Disease Knowledge Graph (TDKG) Based on Entity Relationship Extraction;2021;H Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9513150/;TRUE;FALSE;;;
Knowledge Graph Enhanced Transformer for Generative Question Answering Tasks;2021;C Liang;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-86362-3_22;FALSE;FALSE;;;
Construction of knowledge graph of maritime dangerous goods based on IMDG code;2020;Q Zhang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/document/9175083/;TRUE;FALSE;;;
[HTML][HTML] Adverse Drug Reaction Discovery Using a Tumor-Biomarker Knowledge Graph;2021;M Wang;;frontiersin.org;https://www.frontiersin.org/articles/10.3389/fgene.2020.625659/full;FALSE;FALSE;;;
Long distance entity relation extraction with article structure embedding and applied to mining medical knowledge;2019;Y Lin;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8904821/;FALSE;FALSE;;;
Design of Knowledge Graph in Manufacturing Services Discovery;2021;Y Li;;asmedigitalcollection.asme.org;https://asmedigitalcollection.asme.org/MSEC/proceedings-abstract/MSEC2021/1115494;FALSE;FALSE;;;
[HTML][HTML] Marrying medical domain knowledge with deep learning on electronic health records: a deep visual analytics approach;2020;R Li;;jmir.org;https://www.jmir.org/2020/9/e20645/;FALSE;FALSE;;;
Clinical knowledge graph embeddings with hierarchical structure for thyroid treatment recommendation;2019;D Chen;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8890434/;FALSE;FALSE;;;
Graphical induction of qualified medical knowledge;2013;T Goodwin;;Scientific;https://www.worldscientific.com/doi/abs/10.1142/S1793351X13400126;FALSE;FALSE;;;
A TCM Question and Answer System Based on Medical Records Knowledge Graph;2020;Y Xie;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9276000/;FALSE;FALSE;;;
Order-free medicine combination prediction with graph convolutional reinforcement learning;28;S Wang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3357384.3357965;FALSE;FALSE;;;
[CITATION][C] Construction techniques and research development of medical knowledge graph;2018;KQ Yuan;;2018;xx;FALSE;FALSE;;;
[PDF][PDF] Graph-Evolving Meta-Learning for Low-Resource Medical Dialogue Generation;2020;S Lin;;aaai.org;https://www.aaai.org/AAAI21Papers/AAAI-1236.LinS.pdf;FALSE;FALSE;;;
Research and Application of Agriculture Knowledge Graph;2021;H Zhang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3501409.3501531;FALSE;FALSE;;;
An efficient tool for semantic biomedical document analysis;2021;M Li;;Springer;https://link.springer.com/chapter/10.1007/978-981-33-6757-9_63;FALSE;FALSE;;;
A survey based on knowledge graph in fault diagnosis; analysis and prediction: key technologies and challenges;2020;L Su;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9361060/;FALSE;FALSE;;
[CITATION][C] Preliminary study on the construction of Chinese medical knowledge graph;2019;O Byambasuren;;2019;xx;FALSE;FALSE;;;
Question answering system based on tourism knowledge graph;2021;Y Sui;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1883/1/012064/meta;FALSE;FALSE;;;
SLAKE: A Semantically-Labeled Knowledge-Enhanced Dataset for Medical Visual Question Answering;2021;B Liu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9434010/;FALSE;FALSE;;;
Semi-automated construction of a knowledge graph with template;2020;T Wei;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1757-899X/782/3/032054/meta;TRUE;FALSE;;;
KG2Rec: LSH-CF recommendation method based on knowledge graph for cloud services;2020;W Huang;;Springer;https://link.springer.com/content/pdf/10.1007/s11276-020-02387-z.pdf;FALSE;FALSE;;;
KGDAL: knowledge graph guided double attention LSTM for rolling mortality prediction for AKI-D patients;12;LJ Liu;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3459930.3469513;FALSE;FALSE;;;
Exploring and Distilling Posterior and Prior Knowledge for Radiology Report Generation;2021;F Liu;;openaccess.thecvf.com;https://openaccess.thecvf.com/content/CVPR2021/html/Liu_Exploring_and_Distilling_Posterior_and_Prior_Knowledge_for_Radiology_Report_CVPR_2021_paper.html;FALSE;FALSE;;;
Intelligent healthcare knowledge resources in Chinese: a survey;2018;M Gao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8636324/;FALSE;FALSE;;;
CODER: Knowledge infused cross-lingual medical term embedding for term normalization;2011;Z Yuan;;arxiv.org;https://arxiv.org/abs/2011.02947;FALSE;FALSE;;;
Research on Intelligent Diagnosis Model of Electronic Medical Record Based on Graph Transformer;2021;X Liu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9644214/;FALSE;FALSE;;;
Readmission Prediction with Knowledge Graph Attention and RNN-Based Ordinary Differential Equations;2021;S Pei;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-82153-1_46;FALSE;FALSE;;;
