PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;;
Introduction to big data computing for geospatial applications;2020;Z Li;;mdpi.com;https://www.mdpi.com/795436;FALSE;FALSE;;;
Personalized Knowledge Recommendation Based on Knowledge Graph in Petroleum Exploration and Development;2020;G Huang;;Scientific;https://www.worldscientific.com/doi/abs/10.1142/S0218001420590338;FALSE;FALSE;;;
Tax-KG: Taxation Big Data Visualization System for Knowledge Graph;2020;Y Qiu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9339403/;FALSE;FALSE;;;
Systematic knowledge management of construction safety standards based on knowledge graphs: a case study in China;2021;Y Jiang;;mdpi.com;https://www.mdpi.com/1660-4601/18/20/10692;FALSE;FALSE;;;
Construction of space object situation information service based on knowledge graph;2020;C Lan;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8970576/;FALSE;FALSE;;;
Graph Summarization;2004;A Bonifati;;arxiv.org;https://arxiv.org/abs/2004.14794;FALSE;FALSE;;;
[BOOK][B] Knowledge Graphs for Explainable Artificial Intelligence: Foundations; Applications and Challenges;2020;I Tiddi;;books.google.com;https://books.google.com/books?hl=en&lr=&id=kfjtDwAAQBAJ&oi=fnd&pg=PR1&dq=%22Geographic+knowledge+graph%22+&ots=8dPlDc_sps&sig=MfPkvUtr1yDWlGyHhxobSS_MULA;FALSE;FALSE;;
Probabilistic Graph Attention for Relation Extraction for Domain of Geography;2020;J Yin;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3446132.3446411;FALSE;FALSE;;;
[BOOK][B] Computational Time and Space Tradeoffs in Geo Knowledge Graphs;2020;BD Regalia;;search.proquest.com;https://search.proquest.com/openview/128c5e5e9c22eb479d8f9e2d606b1ffc/1?pq-origsite=gscholar&cbl=51922&diss=y;FALSE;FALSE;;;
[BOOK][B] Big Data Computing for Geospatial Applications;2020;Z Li;;books.google.com;https://books.google.com/books?hl=en&lr=&id=WMAKEAAAQBAJ&oi=fnd&pg=PP7&dq=%22Geographic+knowledge+graph%22+&ots=lefQjJXjL3&sig=K623a3pqzOHj8OJjMww0370yhWU;FALSE;FALSE;;;
Kst-gcn: A knowledge-driven spatial-temporal graph convolutional network for traffic forecasting;2020;J Zhu;;arxiv.org;https://arxiv.org/abs/2011.14992;FALSE;FALSE;;;
[BOOK][B] Geospatial Artificial Intelligence (GeoAI);2021;S Gao;;geods.geography.wisc.edu;https://geods.geography.wisc.edu/song/papers/2021_OxfordBibliographies_GeoAI.pdf;FALSE;FALSE;;;
A Spatio-Temporal Data Model of Geographic Entities;2018;Q Gong;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8557134/;FALSE;FALSE;;;
Research on Construction and Application of Tourism Sequential Eventic Graph;2021;Y Wang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3490322.3490333;FALSE;FALSE;;;
Learning embeddings for cross-time geographic areas represented as graphs;36;M Khokhlova;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3412841.3441936;FALSE;FALSE;;;
Knowledge graphs;2021;A Hogan;;morganclaypool.com;https://www.morganclaypool.com/doi/abs/10.2200/S01125ED1V01Y202109DSK022;FALSE;FALSE;;;
[HTML][HTML] A Review of Recent Researches and Reflections on Geospatial Artificial Intelligence;2020;S GAO;;ch.whu.edu.cn;http://ch.whu.edu.cn/en/article/doi/10.13203/j.whugis20200597;FALSE;FALSE;;;
Geographic Question Answering: Challenges; Uniqueness; Classification; and Future Directions;2021;G Mai;;agile-giss.copernicus.org;https://agile-giss.copernicus.org/articles/2/8/2021/;FALSE;FALSE
Towards Self-Service GIS—Combining the Best of the Semantic Web and Web GIS;2020;A Rowland;;mdpi.com;https://www.mdpi.com/925196;FALSE;FALSE;;;
Prospecting information extraction by text mining based on convolutional neural networks–a case study of the Lala copper deposit; China;2018;L Shi;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8466566/;FALSE;FALSE;;
[HTML][HTML] Place Model and Big Geo-Data Supported Place Sensing;2020;S WANG;;ch.whu.edu.cn;http://ch.whu.edu.cn/en/article/doi/10.13203/j.whugis20200491;FALSE;FALSE;;;
Narrative Cartography with Knowledge Graphs;2112;G Mai;;arxiv.org;https://arxiv.org/abs/2112.00970;FALSE;FALSE;;;
Versioned geoscientific workflow for the collaborative geo-simulation of human-nature interactions–a case study of global change and human activities;2021;Y Chen;;Francis;https://www.tandfonline.com/doi/abs/10.1080/17538947.2020.1849439;FALSE;FALSE;;;
Leveraging Spatio-Temporal Graphs and Knowledge Graphs: Perspectives in the Field of Maritime Transportation;2021;G Del;;mdpi.com;https://www.mdpi.com/2220-9964/10/8/541;FALSE;FALSE;;;
A Knowledge-Based Filtering Method for Open Relations among Geo-Entities;2019;L Yu;;mdpi.com;https://www.mdpi.com/402854;FALSE;FALSE;;;
A Review of Location Encoding for GeoAI: Methods and Applications;2021;G Mai;;arxiv.org;https://arxiv.org/abs/2111.04006;FALSE;FALSE;;;
[BOOK][B] Applications and Practices in Ontology Design; Extraction; and Reasoning;2020;G Cota;;books.google.com;https://books.google.com/books?hl=en&lr=&id=gS4NEAAAQBAJ&oi=fnd&pg=PR1&dq=%22Geographic+knowledge+graph%22+&ots=5Gv1xEh-qx&sig=LzNWN3u7lHXn8Na4OyLcmYUse5o;FALSE;FALSE;
ENSTDM: An ENtity-Based Spatio-Temporal Data Model and Case Study in Real Estate Management;2021;W Xiong;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-85462-1_3;FALSE;FALSE;;;
High-performance overlay analysis of massive geographic polygons that considers shape complexity in a cloud environment;2019;K Zhao;;mdpi.com;https://www.mdpi.com/486004;FALSE;FALSE;;;
An approach to measuring semantic relatedness of geographic terminologies using a thesaurus and lexical database sources;2018;Z Chen;;mdpi.com;https://www.mdpi.com/272268;TRUE;FALSE;;;
Geospatial semantics;1707;Y Hu;;arxiv.org;https://arxiv.org/abs/1707.03550;FALSE;FALSE;;;
[HTML][HTML] Domain-specific knowledge graphs: A survey;2021;B Abu-Salih;;Elsevier;https://www.sciencedirect.com/science/article/pii/S1084804521000990;FALSE;FALSE;;;
[BOOK][B] Advances in Pattern-Based Ontology Engineering;2021;E Blomqvist;;books.google.com;https://books.google.com/books?hl=en&lr=&id=6VA2EAAAQBAJ&oi=fnd&pg=PR1&dq=%22Geographic+knowledge+graph%22+&ots=0cI20ys7K8&sig=J7DzyAxK67PfCrZ37-4qyu0Ay_s;FALSE;FALSE;;;
Using social media to mine and analyze public sentiment during a disaster: a case study of the 2018 Shouguang City Flood in China;2019;X Han;;mdpi.com;https://www.mdpi.com/442064;FALSE;FALSE;;;
[HTML][HTML] Data mining for climate change research in Central Asia over the past 2000 years;2021;T YU;;en.igg-journals.cn;http://en.igg-journals.cn/article/doi/10.11928/j.issn.1001-7410.2021.02.22?viewType=HTML;FALSE;FALSE;;;
A novel method of missing road generation in city blocks based on big mobile navigation trajectory data;2019;H Wu;;mdpi.com;https://www.mdpi.com/427638;FALSE;FALSE;;;
Is Wikipedia Biased?;2012;S Greenstein;;aeaweb.org;https://www.aeaweb.org/articles?id=10.1257/aer.102.3.343;FALSE;FALSE;;;
Towards Culture-Aware Smart and Sustainable Cities: Integrating Historical Sources in Spatial Information Infrastructures;2021;B Bucher;;mdpi.com;https://www.mdpi.com/2220-9964/10/9/588;FALSE;FALSE;;;
Riso-Tree: An Efficient and Scalable Index for Spatial Entities in Graph Database Management Systems;2021;Y Sun;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3450945;FALSE;FALSE;;;
[PDF][PDF] Machine Learning Approaches;xx;S Gao;;geods.geography.wisc.edu;https://geods.geography.wisc.edu/song/papers/2020_BoK_MachineLearning.pdf;FALSE;FALSE;;;
The Americas' spatial data infrastructure;2019;P Merodio;;mdpi.com;https://www.mdpi.com/543918;FALSE;FALSE;;;
[BOOK][B] Services for Connecting and Integrating Big Numbers of Linked Datasets;2021;M Mountantonakis;;books.google.com;https://books.google.com/books?hl=en&lr=&id=c0AvEAAAQBAJ&oi=fnd&pg=PR1&dq=%22Geographic+knowledge+graph%22+&ots=y-oa0BDV0z&sig=hh9TqzBLH6ndLa7h-MzwLfZMmHI;FALSE;FALSE;;;
A High-performance Cross-platform Map Rendering Engine for Mobile Geographic Information System (GIS);2019;S Li;;mdpi.com;https://www.mdpi.com/538280;FALSE;FALSE;;;
[PDF][PDF] Modelling spatial data in knowledge graphs;2021;S DOPLER;;researchgate.net;https://www.researchgate.net/profile/Silvia-Dopler/publication/352487078_Modelling_spatial_data_in_knowledge_graphs_a_top-down_approach_for_the_supply_chain_monitoring_domain/links/60cb4cb0299bf1cd71d60ded/Modelling-spatial-data-in-knowledge-graphs-a-top-down-approach-for-the-supply-chain-monitoring-domain.pdf;FALSE;FALSE;;;
[HTML][HTML] Visualizing and exploring POI configurations of urban regions on POI-type semantic space;2020;K Liu;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0264275119310637;FALSE;FALSE;;;
Towards Knowledge-Based Geospatial Data Integration and Visualization: A Case of Visualizing Urban Bicycling Suitability;2020;W Huang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9085369/;FALSE;FALSE;;;
Modelling spatial data in knowledge graphs: a top-down approach for the supply chain monitoring domain;xx;S Dopler;;unipub.uni-graz.at;http://unipub.uni-graz.at/obvugrhs/5980273;FALSE;FALSE;;;
[BOOK][B] Strategies and Techniques for Federated Semantic Knowledge Integration and Retrieval;2020;D Collarana;;books.google.com;https://books.google.com/books?hl=en&lr=&id=OkvYDwAAQBAJ&oi=fnd&pg=PP1&dq=%22Geographic+knowledge+graph%22+&ots=dZfTHCXsWF&sig=H01x0GfciRr9Pp_Fd9JPhSGqATw;FALSE;FALSE;;;
Discovering source areas of disease outbreaks based on ring-shaped hotspot detection in road network space;2021;Y Shi;;Francis;https://www.tandfonline.com/doi/abs/10.1080/13658816.2021.1990301;FALSE;FALSE;;;
[BOOK][B] Neural generation of textual summaries from knowledge base triples;2020;P Vougiouklis;;books.google.com;https://books.google.com/books?hl=en&lr=&id=h_jtDwAAQBAJ&oi=fnd&pg=PR1&dq=%22Geographic+knowledge+graph%22+&ots=ARow8dlDeK&sig=J5gsrJBMcKcuyUUZeWNMZFpG_9Y;FALSE;FALSE;;;
Multidimensional web GIS approach for citizen participation on urban evolution;2019;F Lafrance;;mdpi.com;https://www.mdpi.com/471504;FALSE;FALSE;;;
CrimeVec—Exploring Spatial-Temporal Based Vector Representations of Urban Crime Types and Crime-Related Urban Regions;2021;A Crivellari;;mdpi.com;https://www.mdpi.com/1055754;FALSE;FALSE;;;
ICDE 2019;xx;MJ Carey;;computer.org;https://www.computer.org/csdl/proceedings-article/icde/2019/747400z005/1aDSZtVOu7S;FALSE;FALSE;;;
Eye-tracking evaluation of weather web maps;2019;S Popelka;;mdpi.com;https://www.mdpi.com/471674;FALSE;FALSE;;;
[PDF][PDF] EuroSDR Annual Report 2019;2020;J Crompvoets;;lirias.kuleuven.be;https://lirias.kuleuven.be/retrieve/600388;FALSE;FALSE;;;
[PDF][PDF] The evolution of national spatial data infrastructure in Pakistan; implementation problems and the way forward;2020;A Ali;;core.ac.uk;https://core.ac.uk/download/pdf/322520231.pdf;FALSE;FALSE;;
From spatial data infrastructures to data spaces—A technological perspective on the evolution of European SDIs;2020;A Kotsev;;mdpi.com;https://www.mdpi.com/666526;FALSE;FALSE;;;
Geodata source retrieval in PDOK by multilingual/semantic query expansion;2021;B Sajjadianjaghargh;;dspace.library.uu.nl;https://dspace.library.uu.nl/handle/1874/404780;FALSE;FALSE;;;
Towards Integrating Heterogeneous Data: A Spatial DBMS Solution from a CRC-LCL Project in Australia;2020;W Li;;mdpi.com;https://www.mdpi.com/623096;FALSE;FALSE;;;
Similarity Retention Loss (SRL) Based on Deep Metric Learning for Remote Sensing Image Retrieval;2020;H Zhao;;mdpi.com;https://www.mdpi.com/622696;FALSE;FALSE;;;
Spatial Models or Random Forest? Evaluating the Use of Spatially Explicit Machine Learning Methods to Predict Employment Density around New Transit Stations in …;2021;K Credit;;Library;https://onlinelibrary.wiley.com/doi/abs/10.1111/gean.12273;FALSE;FALSE;;;
[HTML][HTML] Tracking and analysis of discourse dynamics and polarity during the early Corona pandemic in Iran;2021;F Jafarinejad;;Elsevier;https://www.sciencedirect.com/science/article/pii/S153204642100191X;FALSE;FALSE;;;
Strengths of exaggerated tsunami-originated placenames: Disaster subculture in Sanriku Coast; Japan;2019;Y Isoda;;mdpi.com;https://www.mdpi.com/540482;FALSE;FALSE;;
INSPIRE: The entry point to Europe's Big Geospatial Data Infrastructure;2020;M Minghini;;Springer;https://link.springer.com/content/pdf/10.1007/978-3-030-55462-0_24.pdf;FALSE;FALSE;;;
Implicit; Formal; and Powerful Semantics in Geoinformation;2021;G Bordogna;;mdpi.com;https://www.mdpi.com/2220-9964/10/5/330;FALSE;FALSE;
Multi-Constrained Optimization Method of Line Segment Extraction Based on Multi-Scale Image Space;2019;Y Sun;;mdpi.com;https://www.mdpi.com/441786;FALSE;FALSE;;;
