PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;;;;;
Knowledge Graph Completion Based on Graph Representation and Probability Model;2021;L Liu;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1757/1/012029/meta;FALSE;FALSE;;;;;;
[PDF][PDF] Knowledge graph embedding via the properties of mapping and dynamic matrix;2021;A Sangeetha;;…;https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2021/Issue-11/IJST-2020-2172.pdf;FALSE;FALSE;;;;;;
How the anti-trustRank algorithm can help to protect the reputation of financial institutions;2020;I Astrova;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-50316-1_30;FALSE;FALSE;;;;;;
A Knowledge Graph Based Approach to Social Science Surveys;2021;JZ Pan;;direct.mit.edu;https://direct.mit.edu/dint/article-abstract/3/4/477/106756;FALSE;FALSE;;;;;;
Risk perception and intelligent decision in complex social information network;2020;D Wu;;emerald.com;https://www.emerald.com/insight/content/doi/10.1108/IMDS-10-2020-0566/full/html;FALSE;FALSE;;;;;;
Knowledge Graphs Representation for Event-Related E-News Articles;2021;M Lakshika;;mdpi.com;https://www.mdpi.com/2504-4990/3/4/40;FALSE;FALSE;;;;;;
[PDF][PDF] MEL: Metadata Extractor & Loader;2021;SJR Méndez;;ceur-ws.org;http://ceur-ws.org/Vol-2980/paper399.pdf;FALSE;FALSE;;;;;;
Visual analysis of China's intelligent finance-Based on CiteSpace;2021;L Zhang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3473714.3473800;FALSE;FALSE;;;;;;
Explainable text-driven neural network for stock prediction;2018;L Yang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8691233/;FALSE;FALSE;;;;;;
Combining embedding-based and symbol-based methods for entity alignment;2021;T Jiang;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0031320321006099;FALSE;FALSE;;;;;;
An Ontology-Aware Unified Storage Scheme for Knowledge Graphs;2020;S Li;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-60259-8_17;FALSE;FALSE;;;;;;
Effectiveness of Financial Literacy Program at Schools. The Case Study of Schoolbank in Georgia;1;I Barbakadze;;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3206094;FALSE;FALSE;;;;;;
[HTML][HTML] Customized Graph Embedding: Tailoring the Embedding Vector to a Specific Application.;2019;B Hou;;deepai.org;https://deepai.org/publication/customized-graph-embedding-tailoring-the-embedding-vector-to-a-specific-application;FALSE;FALSE;;;;;;
Domain-specific knowledge graphs: A survey;2021;B Abu-Salih;;Elsevier;https://www.sciencedirect.com/science/article/pii/S1084804521000990;FALSE;FALSE;;;;;;
[CITATION][C] 2021 IEEE International Conference on Software Engineering and Artificial Intelligence (SEAI 2021);xx;Q Lei;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9477521/;FALSE;FALSE;;;;;;
FinIR 2020: The First Workshop on Information Retrieval in Finance;43;F Feng;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3397271.3401462;FALSE;FALSE;;;;;;
[HTML][HTML] A General Method for Transferring Explicit Knowledge into Language Model Pretraining;2021;R Yan;;hindawi.com;https://www.hindawi.com/journals/scn/2021/7115167/;FALSE;FALSE;;;;;;
A Review of Recent Trends and Industry Prospects for Artificial Intelligence Technologies;2021;G Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9635368/;FALSE;FALSE;;;;;;
Intelligent Finance Wealth Management in China;2021;D Zhao;;Springer;https://link.springer.com/chapter/10.1007/978-981-16-5592-0_7;FALSE;FALSE;;;;;;
[PDF][PDF] Research on the Application of Machine Learning in Quantitative Investment;xx;H Jiawen;;clausiuspress.com;http://clausiuspress.com/conferences/LNEMSS/EDMS%202020/G8092.pdf;FALSE;FALSE;;;;;;
[BOOK][B] Big Scientific Data Management: First International Conference; BigSDM 2018; Beijing; China; November 30–December 1;2018; Revised Selected Papers;2019;J Li;;books.google.com;https://books.google.com/books?hl=en&lr=&id=ocanDwAAQBAJ&oi=fnd&pg=PR5&dq=%22financial+knowledge+graph%22+&ots=A0FHm4BFd9&sig=b_ev2q9FCP-u3_DQW-8K6df-P7g;FALSE;FALSE
Big Scientific Data Management;xx;J Li;;Springer;https://link.springer.com/content/pdf/10.1007/978-3-030-28061-1.pdf;FALSE;FALSE;;;;;;
XPM: An Explainable Deep Reinforcement Learning Framework for Portfolio Management;30;S Shi;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3459637.3482494;FALSE;FALSE;;;;;;
An Approach of Safe Stock Prediction Using Genetic Algorithm;2021;N Adhikari;;Springer;https://link.springer.com/chapter/10.1007/978-981-16-4301-9_10;FALSE;FALSE;;;;;;
[PDF][PDF] Subgraph Matching over Graph Federation;xx;Y Yuan;;zhenyu.info;http://www.zhenyu.info/papers/p470-yuan.pdf;FALSE;FALSE;;;;;;
[PDF][PDF] Deep Neural Approach for Financial Analysis;2021;L Yang;;linyi-yang.me;https://www.linyi-yang.me/files/thesis_crc_linyi_yang.pdf;FALSE;FALSE;;;;;;
[BOOK][B] Data Science: 7th International Conference of Pioneering Computer Scientists; Engineers and Educators; ICPCSEE 2021; Taiyuan; China; September 17-20 …;2021;J Zeng;;books.google.com;https://books.google.com/books?hl=en&lr=&id=PmNCEAAAQBAJ&oi=fnd&pg=PR6&dq=%22financial+knowledge+graph%22+&ots=mC1eYdHw3G&sig=XPwh69qxxrQJoyTbZ_Q7hJPZcow;FALSE;FALSE;
Graphs; geometry; and representations for language models and networks of entities;2020;S Khalife;;tel.archives-ouvertes.fr;https://tel.archives-ouvertes.fr/tel-03052500/;FALSE;FALSE;;;;
TensorGP-Genetic Programming Engine in TensorFlow.;2021;F Baeta;;Springer;https://link.springer.com/content/pdf/10.1007/978-3-030-72699-7_48.pdf;FALSE;FALSE;;;;;;
[PDF][PDF] Proceedings of the 28th International Conference on Computational Linguistics;28;D Scott;;aclweb.org;https://www.aclweb.org/anthology/2020.coling-main.0.pdf;FALSE;FALSE;;;;;;
Finding the K Shortest Loopless Paths in a Network;1971;JY Yen;;pubsonline.informs.org;https://pubsonline.informs.org/doi/abs/10.1287/mnsc.17.11.712;FALSE;FALSE;;;;;;
A review of graph neural networks and their applications in power systems;2021;W Liao;;arxiv.org;https://arxiv.org/abs/2101.10025;FALSE;FALSE;;;;;;
