PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;;;;;;
[PDF][PDF] A survey on the development status and application prospects of knowledge graph in smart grids;2020;J Wang;;Library;https://onlinelibrary.wiley.com/doi/pdf/10.1049/gtd2.12040;FALSE;FALSE;;;;;;;
Application of entity relation extraction method under CRF and syntax analysis tree in the construction of military equipment knowledge graph;2020;C Liu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9245495/;FALSE;FALSE;;;;;;;
[PDF][PDF] Application and evaluation of knowledge graph embeddings in biomedical data;2021;M Alshahrani;;peerj.com;https://peerj.com/articles/cs-341.pdf;FALSE;FALSE;;;;;;;
Automatic summarization generation technology of network document based on knowledge graph;2018;Y Wu;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-19086-6_3;FALSE;FALSE;;;;;;;
An Editing Platform of Geoscience Knowledge System;2020;SHI Shunzhong;;geology.nju.edu.cn;https://geology.nju.edu.cn/EN/10.16108/j.issn1006-7493.2020019;FALSE;FALSE;;;;;;;
[PDF][PDF] The Assistant Analysis of Defect Cause based on Knowledge Graph and Texts;xx;J Xie;;ijscience.org;http://www.ijscience.org/download/IJS-5-11-229-234.pdf;FALSE;FALSE;;;;;;;
Tax Knowledge Graph for a Smarter and More Personalized TurboTax;2009;J Yu;;arxiv.org;https://arxiv.org/abs/2009.06103;TRUE;FALSE;;;;;;;
Brain-Inspired Search Engine Assistant Based on Knowledge Graph;2021;X Zhao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9559716/;FALSE;FALSE;;;;;;;
Knowledge Graph construction of Thangka icon characters based on Neo4j;2020;S Cheng;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9424842/;TRUE;FALSE;;;;;;;
Construction and Application Technology Architecture of Domain-specific Knowledge Graphin Military Field;2021;X Meng;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1792/1/012044/meta;TRUE;FALSE;;;;;;;
Knowledge Graph Query and Reasoning Based on Game Theory;2019;HU Xueruobai;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9094920/;FALSE;FALSE;;;;;;;
A personalized collaborative filtering recommendation system of network document resource based on knowledge graph;2019;Y Wu;;Springer;https://link.springer.com/chapter/10.1007/978-981-15-1922-2_6;FALSE;FALSE;;;;;;;
Research on subject profile of stem cell based on knowledge graph;2019;Z ZQ;;159.226.100.13;http://159.226.100.13/handle/12502/10503;FALSE;FALSE;;;;;;;
Constructing the Power Knowledge graph by Multi-source Electricity Data;2020;G Jiang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9232497/;TRUE;FALSE;;;;;;;
Automatic Construction of Subject Knowledge Graph based on Educational Big Data;2020;Y Su;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3396452.3396458;TRUE;FALSE;;;;;;;
Research on construction method of knowledge graph of us military equipment based on bilstm model;2019;F Liao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8735478/;FALSE;FALSE;;;;;;;
An Integrated Knowledge Graph for Microbe-Disease Associations;2020;C Fu;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-61951-0_8;TRUE;TRUE;;;;;;;
Study on Military Regulations Knowledge Construction based on Knowledge Graph;2021;Q Zhao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9619666/;FALSE;FALSE;;;;;;;
Construction Method of Knowledge Graph in Textile Field Facing Industrial Internet;2021;G Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9670627/;TRUE;FALSE;;;;;;;
Research on The Construction of Course Knowledge Graph of High School Information Technology;2020;J Gao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9262571/;FALSE;FALSE;;;;;;;
Research of Medical Aided Diagnosis System Based on Temporal Knowledge Graph;2020;F Song;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-65390-3_19;FALSE;FALSE;;;;;;;
Construction of sentimental knowledge graph of Chinese government policy comments;2021;Z Li;;Francis;https://www.tandfonline.com/doi/abs/10.1080/14778238.2021.1971056;TRUE;FALSE;;;;;;;
[HTML][HTML] A Knowledge Graph System for the Maintenance of Coal Mine Equipment;2021;G Zhang;;hindawi.com;https://www.hindawi.com/journals/mpe/2021/2866751/;TRUE;FALSE;;;;;;;
An Approach of Top-DOWN Electric Generation Knowledge Graph Construction;2021;H Liang;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1755-1315/661/1/012021/meta;TRUE;FALSE;;;;;;;
A Preliminary Approach of Constructing a Knowledge Graph-based Enterprise Informationized Audit Platform;2020;F Liu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9434776/;TRUE;FALSE;;;;;;;
A recommendation system for cloud services based on knowledge graph;2018;C Luo;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8663716/;FALSE;FALSE;;;;;;;
Entity Recognition Based on Knowledge Graph in Air Defense Domain;2020;Z Guo;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1693/1/012168/meta;FALSE;FALSE;;;;;;;
Formal Modeling of Airborne Software High-Level Requirements Based on Knowledge Graph;2014;W Wu;;Springer;https://link.springer.com/chapter/10.1007/978-3-319-12096-6_23;FALSE;FALSE;;;;;;;
Construction and Application of Knowledge Graph for Commanders of Synthetic Brigade;2021;H Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9442563/;TRUE;FALSE;;;;;;;
Building Knowledge Graph using Pre-trained Language Model for Learning Entity-aware Relationships;2020;A Kumar;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9231227/;TRUE;FALSE;;;;;;;
Construction of a Cloud Scenario Knowledge Graph for Cloud Service Market;2020;S Zhang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9237681/;TRUE;FALSE;;;;;;;
Research on Teaching Reform of Digital Media Knowledge by Means of Knowledge Graph Modeling;2017;Z XIE;;en.cnki.com.cn;https://en.cnki.com.cn/Article_en/CJFDTotal-RJDK201711062.htm;FALSE;FALSE;;;;;;;
Domain specific key feature extraction using knowledge graph mining;2020;MK Barai;;cejsh.icm.edu.pl;http://cejsh.icm.edu.pl/cejsh/element/bwmeta1.element.cejsh-27358206-1646-4c49-ac30-f3462d7454f5;FALSE;FALSE;;;;;;;
Instance interactive association graph convolutional network for domain adaptive person re-identification;2021;Q Yang;;Springer;https://link.springer.com/article/10.1007/s10489-021-02806-4;FALSE;FALSE;;;;;;;
[PDF][PDF] Information Retrieval Technology Based on Knowledge Graph;2018;W Ce;;atlantis-press.com;https://www.atlantis-press.com/article/25897722.pdf;FALSE;FALSE;;;;;;;
Study on direction and strength of relation based on knowledge graph;xx;Z Genlin;;infocomm-journal.com;http://www.infocomm-journal.com/bdr/EN/Y2019/V5/I3/96;FALSE;FALSE;;;;;;;
The Construction of Knowledge Graph based on Securities Information;2019;QA Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8938986/;TRUE;FALSE;;;;;;;
[HTML][HTML] Knowledge Graph Quality Control: A Survey;2021;X Wang;;Elsevier;https://www.sciencedirect.com/science/article/pii/S2667325821001734;FALSE;FALSE;;;;;;;
An Intelligent Question-Answering System for Myopia Prevention and Control based on Knowledge Graph;2;Y Sun;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3500931.3500947;FALSE;FALSE;;;;;;;
Novel Perspectives and Applications of Knowledge Graph Embeddings: From Link Prediction to Risk Assessment and Explainability;2021;HC Tissot;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-75018-3_6;FALSE;FALSE;;;;;;;
Incorporating Domain Knowledge To Improve Topic Segmentation Of Long MOOC Lecture Videos;2012;A Das;;arxiv.org;https://arxiv.org/abs/2012.07589;FALSE;FALSE;;;;;;;
Intelligent interaction with virtual geographical environments based on geographic knowledge graph;2019;B Jiang;;mdpi.com;https://www.mdpi.com/540338;FALSE;FALSE;;;;;;;
Modelling and Implementation of a Knowledge Question-answering System for Product Quality Problem Based on Knowledge Graph;2021;H Liu;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/2068/1/012051/meta;FALSE;FALSE;;;;;;;
Label Distribution Learning-Based Semantic Retrieval Model on Knowledge Graph;2020;C Wang;;Springer;https://link.springer.com/chapter/10.1007/978-981-33-4601-7_3;FALSE;FALSE;;;;;;;
A Review of Knowledge Graph-based Question and Answer System Research and Its Application in Chronic Disease Diagnosis;2021;Z Cao;;francis-press.com;https://francis-press.com/index.php/papers/4334;FALSE;FALSE;;;;;;;
Decentralized construction of knowledge graphs for deep recommender systems based on blockchain-powered smart contracts;2019;S Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8844724/;TRUE;FALSE;;;;;;;
A Review on Application of Knowledge Graph in Cybersecurity;2020;Z Yan;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9480953/;FALSE;FALSE;;;;;;;
Model and construction method of the ontology of knowledge graph of smart city;xx;Z Genlin;;infocomm-journal.com;http://www.infocomm-journal.com/bdr/EN/10.11959/j.issn.2096-0271.2020017;TRUE;FALSE;;;;;;;
[HTML][HTML] Data-driven cybersecurity knowledge graph construction for industrial control system security;2020;G Shen;;hindawi.com;https://www.hindawi.com/journals/wcmc/2020/8883696/;TRUE;FALSE;;;;;;;
[CITATION][C] Accurate and efficient method for constructing domain knowledge graph;2018;YJ Yang;;2018;xx;TRUE;FALSE;;;;;;;
Research on Construction Method of Knowledge Graph-Based on Mobile Phone Quality Detection;2020;Y Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9141839/;TRUE;FALSE;;;;;;;
A Heterogeneous Geospatial Data Retrieval Method Using Knowledge Graph;2021;J Liu;;mdpi.com;https://www.mdpi.com/997068;FALSE;FALSE;;;;;;;
Research on Personalized Learning Path Discovery Based on Differential Evolution Algorithm and Knowledge Graph;6;X Xu;;books.google.com;https://books.google.com/books?hl=en&lr=&id=UK_NDwAAQBAJ&oi=fnd&pg=PA285&dq=%22Domain+knowledge+Graph%22+&ots=lmYCP295hd&sig=pYWGqBe8CJrT8qo-8q37APxvbow;FALSE;FALSE;;;;;;;
Automatic Summarization Generation Technology of Network Document Based on Knowledge Graph;2018;S Chen;;books.google.com;https://books.google.com/books?hl=en&lr=&id=Z6yXDwAAQBAJ&oi=fnd&pg=PA20&dq=%22Domain+knowledge+Graph%22+&ots=D3_hjmrDJ_&sig=Z5h3MBER1Cf-Kjs7iVzk0hev6ww;FALSE;FALSE;;;;;;;
Research on Personalized Learning Path Discovery Based on Differential Evolution Algorithm and Knowledge Graph;2019;F Wang;;Springer;https://link.springer.com/chapter/10.1007/978-981-15-2810-1_28;FALSE;FALSE;;;;;;;
[HTML][HTML] Design and Evaluation of a Prescription Drug Monitoring Program for Chinese Patent Medicine based on Knowledge Graph;2021;W Xiong;;hindawi.com;https://www.hindawi.com/journals/ecam/2021/9970063/;FALSE;FALSE;;;;;;;
Retrieval method of electronic medical records based on rules and knowledge graph;2018;Q Chen;;aisel.aisnet.org;https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1057&context=iceb2018;FALSE;FALSE;;;;;;;
Knowledge Graph Driven Dialogue Management for Task-oriented Dialogue;2020;S Sun;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9402765/;FALSE;FALSE;;;;;;;
An Interoperable Open Data Portal for Climate Analysis;2021;J Wu;;arxiv.org;https://arxiv.org/abs/2110.09797;FALSE;FALSE;;;;;;;
Data Visualization Analysis of Knowledge Graph Application;2021;A Hu;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3469213.3472783;FALSE;FALSE;;;;;;;
A Construction Method for the Knowledge Graph of Power Grid Supervision Business;2021;Z Xinjie;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9616976/;TRUE;FALSE;;;;;;;
A multi-facets ontology matching approach for generating PLC domain knowledge graphs;2020;Y An;;Elsevier;https://www.sciencedirect.com/science/article/pii/S2405896320335990;TRUE;FALSE;;;;;;;
Research on the Construction Method of Knowledge Graph for Power Grid Education Resources;2021;Y Ma;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9477728/;FALSE;FALSE;;;;;;;
A Capability-oriented Method for Integration of Liberal Arts Knowledge Graph in Primary Education;2021;H Yu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9610323/;FALSE;FALSE;;;;;;;
Research on the Construction of a Knowledge Graph and Knowledge Reasoning Model in the Field of Urban Traffic. Sustainability 2021;13;3191;2021;J Tan;;search.proquest.com;https://search.proquest.com/openview/9d60266a7dc0c01040ffe0be8adb4b7e/1?pq-origsite=gscholar&cbl=2032327;FALSE;FALSE;;;;;
Intelligent personalised exercise recommendation: A weighted knowledge graph‐based approach;2021;P Lv;;Library;https://onlinelibrary.wiley.com/doi/abs/10.1002/cae.22395;FALSE;FALSE;;;;;;;
Tadanet: Task-adaptive network for graph-enriched meta-learning;26;Q Suo;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3394486.3403230;FALSE;FALSE;;;;;;;
Research progress of knowledge graph based on knowledge base embedding;2018;T Caifang;;Springer;https://link.springer.com/chapter/10.1007/978-981-13-2206-8_16;FALSE;FALSE;;;;;;;
Semi-automatic Construction of Financial Knowledge Graph Based on Web;2021;Y Luo;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9477534/;TRUE;FALSE;;;;;;;
Construction and application of Knowledge Graph of government policy based on deep neural network;2020;Y Liu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9363850/;TRUE;FALSE;;;;;;;
Exploring Construction of a Company Domain-Specific Knowledge Graph from Financial Texts Using Hybrid Information Extraction;2021;CH Jen;;diva-portal.org;https://www.diva-portal.org/smash/record.jsf?pid=diva2:1532328;TRUE;FALSE;;;;;;;
A Review of Knowledge Graph Technology in the field of Automatic Question Answering;2020;F Zhang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9480912/;FALSE;FALSE;;;;;;;
Construction of knowledge graph in the field of grassland plants based on ontology database;2021;K Yang;;spiedigitallibrary.org;https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12129/121290Q/Construction-of-knowledge-graph-in-the-field-of-grassland-plants/10.1117/12.2625579.short;TRUE;FALSE;;;;;;;
Attention and Graph Matching Network for Retrieval-Based Dialogue System with Domain Knowledge;2020;X Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9207347/;FALSE;FALSE;;;;;;;
KnowGraph-PM: A Knowledge Graph Based Pricing Model for Semiconductor Supply Chains;2021;N Ramzy;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-79474-3_5;FALSE;FALSE;;;;;;;
Theme Evolution of Researches on Knowledge Graphs Based on Visualization Analyses of Data;2021;K Chen;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1813/1/012039/meta;FALSE;FALSE;;;;;;;
Question Answering System over Knowledge Graph of Weapon Field;2020;P Gao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9253485/;FALSE;FALSE;;;;;;;
Construction and Application of Database Micro-course Knowledge Graph Based on Neo4j;2;J Bai;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3448734.3450798;TRUE;FALSE;;;;;;;
Automated construction technology of the government agencies knowledge graph based on the topical crawler;2020;Z Xiong;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1656/1/012016/meta;TRUE;FALSE;;;;;;;
Medical Entity Extraction and Knowledge Graph Construction;2019;WEI DENG;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9067598/;TRUE;FALSE;;;;;;;
Relation classification in knowledge graph based on natural language text;2018;Y Song;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8663945/;FALSE;FALSE;;;;;;;
The data set knowledge graph: Creating a linked open data source for data sets;2021;M Färber;;direct.mit.edu;https://direct.mit.edu/qss/article-abstract/doi/10.1162/qss_a_00161/108051;FALSE;FALSE;;;;;;;
Improving Dialog Systems Using Knowledge Graph Embeddings;2018;B Carignan;;curve.carleton.ca;https://curve.carleton.ca/793a7e9a-ceb5-443f-a0b9-5cf9a8d777fb;FALSE;FALSE;;;;;;;
Construction and Application of Knowledge Graph of Weapon and Equipment System of Systems;2021;X Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9587983/;TRUE;FALSE;;;;;;;
[PDF][PDF] EventSKG: a Framework for Public Safety Event Knowledge Graph Construction using Social Network Data;2021;X Yang;;researchsquare.com;https://www.researchsquare.com/article/rs-944615/latest.pdf;TRUE;FALSE;;;;;;;
Construction of Neurosurgery Knowledge Graph Based on Bi-LSTM-CRF Model;4;Y Shi;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3424978.3425095;TRUE;FALSE;;;;;;;
Knowledge Graph Construction using Information Extraction of Indonesia Cosmetic Product Text in Bahasa Indonesia;2021;DA Josephine;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9640251/;TRUE;FALSE;;;;;;;
Distributed Storage and Query for Domain Knowledge Graphs;2020;X Shan;;Springer;https://link.springer.com/chapter/10.1007/978-981-16-0479-9_10;FALSE;FALSE;;;;;;;
Knowledge Graph Post-Processing for QA Systems;2021;X Lin;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3467707.3467758;FALSE;FALSE;;;;;;;
QuatDE: Dynamic Quaternion Embedding for Knowledge Graph Completion;2021;H Gao;;arxiv.org;https://arxiv.org/abs/2105.09002;FALSE;FALSE;;;;;;;
[PDF][PDF] Exploratory neural relation classification for domain knowledge acquisition;27;Y Fan;;aclweb.org;https://www.aclweb.org/anthology/C18-1192.pdf;FALSE;FALSE;;;;;;;
Towards Open-domain Vision and Language Understanding with Wikimedia;2021;D Semedo;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3442442.3452346;FALSE;FALSE;;;;;;;
Research and Application of Knowledge Graph in Teaching: Take the database course as an example;2020;Y Qin;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1607/1/012127/meta;FALSE;FALSE;;;;;;;
[BOOK][B] Knowledge Graph Creation from Structure Knowledge;2017;S Wang;;search.proquest.com;https://search.proquest.com/openview/3fb779ed73a2ec072aac1630318560bf/1?pq-origsite=gscholar&cbl=18750&diss=y;TRUE;FALSE;;;;;;;
Dynamic Knowledge Graph Based Construction of Quality Infrastructure System for Non-API Oil Country Tubular Goods;2021;X Chen;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/2101/1/012041/meta;TRUE;FALSE;;;;;;;
[PDF][PDF] Quality Assessment of Knowledge Graph Hierarchies using KG-BERT;2021;K Szarkowska;;alammehwish.github.io;https://alammehwish.github.io/dl4kg2021/papers/quality_assessment_of_knowledg.pdf;FALSE;FALSE;;;;;;;
[HTML][HTML] Open-Domain Contextual Link Prediction and its Complementarity with Entailment Graphs;2021;MJ Hosseini;;aclanthology.org;https://aclanthology.org/2021.findings-emnlp.238/;FALSE;FALSE;;;;;;;
Enterprise development forecast analysis under environmental policy based on knowledge graph;2021;Z Zhang;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1755-1315/675/1/012111/meta;FALSE;FALSE;;;;;;;
Latent Clues Investigation in Discipline Inspection and Supervision Based on Knowledge Graph Analysis;2021;Y Gao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9437614/;FALSE;FALSE;;;;;;;
Research on Entity Recognition and Alignment Methods in Knowledge Graph Construction of Multi-source Tourism Data;2021;M Wu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9482325/;TRUE;FALSE;;;;;;;
Graph database based knowledge graph storage and query for power equipment management;2020;Y Tang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9220382/;FALSE;FALSE;;;;;;;
The COVID-19 Question Answering System Based on Knowledge Graph;2021;Y Sun;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9627485/;FALSE;FALSE;;;;;;;
[HTML][HTML] A Framework Using Active Learning to Rapidly Perform Named Entity Extraction and Relation Recognition for Science and Technology Knowledge Graph;2020;Y Wang;;scirp.org;https://www.scirp.org/journal/paperinformation.aspx?paperid=103150;TRUE;FALSE;;;;;;;
Construction of Knowledge Graph Corpus Under the Framework of Artificial Intelligence;2021;D Wang;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-69999-4_6;FALSE;FALSE;;;;;;;
Thales XAI Platform: Adaptable Explanation of Machine Learning Systems-A Knowledge Graphs Perspective.;2019;F Lécué;;ceur-ws.org;http://ceur-ws.org/Vol-2456/paper85.pdf;FALSE;FALSE;;;;;;;
Update the power project knowledge graph of power project using Neo4j Graph Database;2021;H Liu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9551335/;FALSE;FALSE;;;;;;;
Research on collaborative filtering algorithm based on knowledge graph and long tail;2019;Y Jiahui;;diva-portal.org;https://www.diva-portal.org/smash/record.jsf?pid=diva2:1367043;FALSE;FALSE;;;;;;;
[PDF][PDF] From web-tables to a knowledge graph: prospects of an end-to-end solution;2021;A Shigarov;;ceur-ws.org;http://ceur-ws.org/Vol-2984/paper4.pdf;FALSE;FALSE;;;;;;;
Service Clustering Method Based on Knowledge Graph Representation Learning;2020;B Jiang;;Springer;https://link.springer.com/chapter/10.1007/978-981-16-2540-4_2;FALSE;FALSE;;;;;;;
SAKG-BERT: Enabling Language Representation With Knowledge Graphs for Chinese Sentiment Analysis;2021;X Yan;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9490220/;FALSE;FALSE;;;;;;;
[PDF][PDF] Knowledge graph mining with latent shape graphs;2020;E Muñoz;;core.ac.uk;https://core.ac.uk/download/pdf/334999781.pdf;FALSE;FALSE;;;;;;;
Research Hotspots and Trends of Knowledge Graph Question Answering System----Visual analysis based on CiteSpace;2021;Y Xu;;forestchemicalsreview.com;http://forestchemicalsreview.com/index.php/JFCR/article/view/412;FALSE;FALSE;;;;;;;
A Visual Analysis Method of Knowledge Graph Based on the Elements and Structure;2021;Q He;;Springer;https://link.springer.com/chapter/10.1007/978-981-16-6471-7_16;FALSE;FALSE;;;;;;;
"Research data supporting"" Automated Calibration of a Poly (oxymethylene) Dimethyl Ether Oxidation Mechanism Using the Knowledge Graph Technology""";2021;J Bai;;repository.cam.ac.uk;https://www.repository.cam.ac.uk/handle/1810/319572;FALSE;FALSE;;;;;;;
On the quest for changing knowledge;2016;M Brambilla;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/2911187.2914582;FALSE;FALSE;;;;;;;
Association analysis algorithm based on knowledge graph for space-ground integrated network;2018;Y Qi;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8600234/;FALSE;FALSE;;;;;;;
[HTML][HTML] Research on enterprise knowledge service based on semantic reasoning and data fusion;2021;B Yang;;Springer;https://link.springer.com/article/10.1007/s00521-021-06382-z;FALSE;FALSE;;;;;;;
Research on Modeling of Power Grid Information System Based on Knowledge Graph;2021;J Hu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9362503/;FALSE;FALSE;;;;;;;
Exploratory analysis of graph data by leveraging domain knowledge;2017;D Jin;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8215491/;FALSE;FALSE;;;;;;;
Construction and Application of Chinese Enterprise Knowledge Graph Based on Neural Networks;2020;N Yang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9262783/;TRUE;FALSE;;;;;;;
A Survey on Knowledge Graph Embeddings for Link Prediction;2021;M Wang;;mdpi.com;https://www.mdpi.com/1036316;FALSE;FALSE;;;;;;;
Learning to Match Workers and Tasks via a Multi-View Graph Attention Network;2021;N Cui;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9529820/;FALSE;FALSE;;;;;;;
Research of Knowledge Graph Technology and its Applications in Agricultural Information Consultation Field;2020;J Wu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9391515/;FALSE;FALSE;;;;;;;
[HTML][HTML] Adverse Drug Reaction Discovery Using a Tumor-Biomarker Knowledge Graph;2021;M Wang;;frontiersin.org;https://www.frontiersin.org/articles/10.3389/fgene.2020.625659/full;FALSE;FALSE;;;;;;;
Student model initialization using domain knowledge ontology representative subset;2020;A Grubišić;;upcommons.upc.edu;https://upcommons.upc.edu/handle/2117/186674;FALSE;FALSE;;;;;;;
Knowledge Graph of Maritime Collision Avoidance Rules in Chinese;2019;S Liu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8941540/;FALSE;FALSE;;;;;;;
[HTML][HTML] A knowledge graph of combined drug therapies using semantic predications from biomedical literature: Algorithm development;2020;J Du;;medinform.jmir.org;https://medinform.jmir.org/2020/4/e18323;TRUE;FALSE;;;;;;;
Research on Power Equipment System of Knowledge Graph under Electric Energy in Smart Grid;2021;J Hu;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1755-1315/714/4/042034/meta;FALSE;FALSE;;;;;;;
[CITATION][C] Research on domain knowledge graph based on the large scale online knowledge fragment [C];2014;Q Lv;;2014;xx;FALSE;FALSE;;;;;;;
[PDF][PDF] NeuralNERE: Neural Named Entity Relationship Extraction for End-to-End Climate Change Knowledge Graph Construction;2021;P Mishra;;climatechange.ai;https://www.climatechange.ai/papers/icml2021/76/paper.pdf;TRUE;FALSE;;;;;;;
[CITATION][C] Establishment of packaging knowledge graph based on multiple data sources;2017;CY Li;;2017;xx;FALSE;FALSE;;;;;;;
[PDF][PDF] Biodiversity Knowledge Graphs: Time to move up a gear!;2021;F Michel;;biss.pensoft.net;https://biss.pensoft.net/article/73699/download/pdf/;FALSE;FALSE;;;;;;;
A knowledge graph based construction method for Digital Twin Network;2021;Y Zhu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9540177/;FALSE;FALSE;;;;;;;
Approach of Intelligence Question-Answering System Based on Physical Fitness Knowledge Graph;2021;G Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9638824/;FALSE;FALSE;;;;;;;
Toward a model of knowledge-based graph comprehension;2002;EG Freedman;;Springer;https://link.springer.com/chapter/10.1007/3-540-46037-3_3;FALSE;FALSE;;;;;;;
On the Historical Evolution and Future Prospects of Domain Knowledge Organization Research;2021;Z Xiaofeng;;qbzl.ruc.edu.cn;http://qbzl.ruc.edu.cn/EN/abstract/abstract1473.shtml;FALSE;FALSE;;;;;;;
Review and trend analysis of knowledge graphs for crop pest and diseases;2019;L Xiaoxue;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8710246/;FALSE;FALSE;;;;;;;
Seeds Optimization for Entity Alignment in Knowledge Graph Embedding;2020;X Chen;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9172867/;FALSE;FALSE;;;;;;;
RI-SSGE: a framework with rule inference and sentence schema graph embedding for knowledge base query construction;2019;X Huo;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3321408.3321604;FALSE;FALSE;;;;;;;
Professional Competence Management for University Students Based on Knowledge Graph Technology;2020;L Huang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9152327/;FALSE;FALSE;;;;;;;
[HTML][HTML] Crop disease identification and interpretation method based on multimodal deep learning;2021;J Zhou;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0168169921004257;FALSE;FALSE;;;;;;;
Power entity recognition based on bidirectional long short-term memory and conditional random fields;2020;Z Ji;;Elsevier;https://www.sciencedirect.com/science/article/pii/S2096511720300529;FALSE;FALSE;;;;;;;
